org	genus	family	order	class	phylum
Proteus_mirabilis_HI4320	Proteus	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Proteus_penneri_ATCC_35198	Proteus	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Providencia_alcalifaciens_DSM_30120	Providencia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Providencia_rettgeri_DSM_1131	Providencia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Providencia_rustigianii_DSM_4541	Providencia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Providencia_stuartii_ATCC_25827	Providencia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Pseudoflavonifractor_capillosus_ATCC_29799	Bacteroides	Clostridiales	Clostridiales	Clostridia	Firmicutes
Pseudomonas_aeruginosa_PAO1	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Pseudomonas_mendocina_ymp	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Ralstonia_sp_5_2_56FAA	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Roseburia_hominis_A2_183	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Roseburia_intestinalis_XB6B4	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Roseburia_inulinivorans_DSM_16841	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Rothia_mucilaginosa_DY_18	Rothia	Micrococcaceae	Actinomycetales	Actinobacteria_(class)	Actinobacteria
Ruminococcaceae_bacterium_D16	Ruminococcaceae	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_bromii_L2_63	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_gnavus_ATCC_29149	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_lactaris_ATCC_29176	Lachnospiraceae	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_obeum_A2_162	Blautia	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_obeum_ATCC_29174	Blautia	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_sp_18P13	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_sp_5_1_39BFAA	Blautia	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_sp_SR1_5	Blautia	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_torques_ATCC_27756	Lachnospiraceae	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Ruminococcus_torques_L2_14	Lachnospiraceae	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_LT2	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Selenomonas_sputigena_ATCC_35185	Selenomonas	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
Slackia_exigua_ATCC_700122_	Slackia	Coriobacteriaceae	Coriobacteriales	Coriobacteridae	Actinobacteria
Slackia_piriformis_YIT_12062	Slackia	Coriobacteriaceae	Coriobacteriales	Coriobacteridae	Actinobacteria
Solobacterium_moorei_F0204Scfld3	Solobacterium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes
Staphylococcus_aureus_subsp_aureus_TW20	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
Staphylococcus_saprophyticus_subsp_saprophyticus_ATCC_15305_DNA	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
Staphylococcus_warneri_L37603_contig00102	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
Stenotrophomonas_maltophilia_K279a	Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria
Streptococcus_agalactiae_2603V/R	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_anginosus_1_2_62CV	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_bovis_ATCC_700338	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_cristatus_ATCC_51100_ctg1129913971918	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_equinus_ATCC_9812	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_mutans_UA159	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_oralis_ATCC_35037	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_parasanguinis_ATCC_15912	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_peroris_ATCC_700780	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_salivarius_SK126	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_sp_2_1_36FAA	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_sp_C150	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_thermophilus_LMD_9	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Streptococcus_vestibularis_ATCC_49124	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
Subdoligranulum_sp_4_3_54A2FAA	Subdoligranulum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Subdoligranulum_variabile_DSM_15176	Subdoligranulum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Succinatimonas_hippei_YIT_12066	Anaerobiospirillum	Succinivibrionaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria
Sutterella_parvirubra_YIT_11816_	Sutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Sutterella_wadsworthensis_2_1_59BFAA	Sutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Sutterella_wadsworthensis_3_1_45B	Sutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Synergistes_sp_3_1_syn1	Synergistes	Synergistaceae	Synergistales	Synergistia	Synergistetes
Tannerella_sp_6_1_58FAA_CT1	Tannerella	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Treponema_denticola_ATCC_35405	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetes_(class)	Spirochaetes
Treponema_pallidum_subsp_pallidum_SS14	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetes_(class)	Spirochaetes
Treponema_vincentii_ATCC_35580_contig00031	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetes_(class)	Spirochaetes
Tropheryma_whipplei_str_Twist	Tropheryma	Micrococcineae	Actinomycetales	Actinobacteria_(class)	Actinobacteria
Turicibacter_sanguinis_PC909	Turicibacter	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichi	Firmicutes
Veillonella_atypica_ACS_134_V_Col7a	Veillonella	Veillonellaceae	Clostridiales	Clostridia	Firmicutes
Veillonella_dispar_ATCC_17748_	Veillonella	Veillonellaceae	Clostridiales	Clostridia	Firmicutes
Veillonella_parvula_DSM_2008	Veillonella	Veillonellaceae	Clostridiales	Clostridia	Firmicutes
Veillonella_sp_6_1_27	Veillonella	Veillonellaceae	Clostridiales	Clostridia	Firmicutes
Veillonella_sp_oral_taxon_158_str_F0412	Veillonella	Veillonellaceae	Clostridiales	Clostridia	Firmicutes
Vibrio_cholerae_O1_biovar_El_Tor_str_N16961	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria
Weissella_paramesenteroides_ATCC_33313	Weissella	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes
Wolinella_succinogenes_DSM_1740	Wolinella	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
Yersinia_bercovieri_ATCC_43970	Yersinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Yokenella_regensburgei_ATCC_43003_	Yokenella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
