Group.1	1HP	2HP	5HP	6HP	8HP	11HP	15HP	16HP	9HP	21HP	22HP	23HP	24HP	26HP	27HP	31HP	32HP	33HP	34HP	39HP	40HP	41HP	42HP	50HP	53HP	55HP	56HP	57HP	59HP	35HP	48HP	49HP	60HP	61HP	62HP	64HP	51HP	58HP	63HP	84HP	97HP	101HP	102HP	105HP	73HP	74HP	77HP	78HP	79HP	80HP	83HP	85HP	86HP	89HP	90HP	95HP	96HP	98HP	67HP	68HP	69HP	70HP	71HP	106HP	107HP	108HP	72HP	109HP	137HP	134HP	135HP	136HP	130HP	131HP	159HP	163HP	160HP	164HP	167HP	168HP
Amino acid metabolism	1403.0916677415	2701.8288138962	2223.6277544438	6007.964672519	1991.067219501	5141.1147874805	1949.7451455548	2548.2575352297	1067.2694917887	1972.5272980548	4102.0169705274	3077.2567662913	4070.946518021	2474.4032292048	4606.8836370288	5048.5489316526	5013.6742797471	3710.5596243461	4131.5378083089	1277.7146841339	2015.1867113639	7530.9419307694	2747.6621376716	1637.8251029295	2394.0420327678	883.8824693952	794.6620520757	1197.810203422	2025.4521793806	1874.6584458362	299.7798947091	970.4584924752	268.5787560748	858.4094113558	832.2087802218	431.265466364	1381.1869420995	7751.7079035839	2067.7049247512	3295.1158303729	3017.3709186779	1668.2103198504	1398.7607822624	4237.5867182703	2096.6051826261	3323.4090501458	1442.2676843681	1897.7931492253	1211.907751487	4897.9388860818	1382.4080528461	2847.654090036	2149.5776543297	1041.7297916687	1699.5008032987	2964.6532836314	4472.2214107505	2931.4032072996	901.3129028023	2006.3769544956	1848.1677514849	2792.9737460328	558.7087586469	745.7129255278	380.3907699661	1112.1351196767	419.4390822706	1230.2429775283	440.6705877062	704.0950743173	856.1688176212	437.1619552195	2233.0706036612	3757.8318178495	2199.9264514456	1725.2620770916	231.9810200996	2158.2232376246	3676.3073384626	3736.3064625334
Amino acid metabolism| Alanine, aspartate and glutamate metabolism	0	435.1023091659	333.4580129942	1092.2530688174	361.4480850169	810.2893945842	332.9481692129	513.946118173	0	356.5109281443	683.4476050404	547.2949710822	749.9879886553	412.5566386723	870.9391527245	956.5605759679	1000.077538826	773.4719970045	628.3057483641	211.6779080374	327.8782168462	996.4453836129	495.1880503984	168.891782112	449.715801985	156.7932863527	150.5696479323	0	310.2040993173	275.4808979386	0	175.6674568955	0	143.6272481972	0	0	0	888.5803915491	0	645.5014912748	539.6454302273	289.4773956772	240.5735812787	732.5782235357	359.4131567873	585.979745012	277.1344738438	0	224.0843900896	886.817249851	251.5549955937	497.8482250252	366.4800404333	0	0	476.9555956364	810.8426124935	504.872614863	157.9522200554	357.8963268891	323.9742019427	511.615220118	0	0	0	186.0139341095	0	208.8522707418	0	123.4060228385	142.3915758434	0	395.4033989956	693.766663028	383.7717796811	278.0124625695	24.8913618706	427.823086292	615.5230431023	634.9916670999
Amino acid metabolism| Arginine and proline metabolism	114.5980456049	176.8614042874	124.6353084413	430.2394689333	134.3557410894	359.9716440145	121.9207268694	167.5912274715	91.077594406	127.2980158923	267.1649364066	212.1936054476	265.0516283101	161.0219252348	316.5578789916	331.6332348339	343.6389261756	252.6659309897	260.4842614899	81.5288968767	137.0439756688	476.5024398149	182.3025351783	101.2154904408	170.3282335875	60.8857030449	57.5560071957	99.3570608155	144.1470287861	115.0482271926	23.8604120336	64.6547229163	21.4491599103	57.4342184723	63.9058477101	36.8887378568	100.106965634	522.1166677811	174.2839814876	222.2623845058	212.9014076616	112.9635460345	92.8377410323	295.7427923818	141.1371782657	239.8349492392	93.9320042659	157.3037047385	79.8759934839	345.7657113568	95.696418249	198.2252661614	137.1190631637	85.9277432432	142.0551106248	194.1775630073	301.8044567969	211.2523983041	60.0127632498	132.7603935034	123.5271895227	199.8841283259	47.0729469445	59.1902647537	28.0190507103	78.3223362003	34.7761581129	79.4044530873	33.4702051907	46.9545788385	60.9813330862	31.2787533167	148.484555846	263.7508704383	148.2800212316	117.4193193066	16.4299037712	141.7512050994	255.287140652	255.8787122546
Amino acid metabolism| Cysteine and methionine metabolism	167.5210214828	246.9196040357	215.2249653746	570.3519648211	200.2856333662	503.9598613395	192.9967102003	222.5769908448	126.6634472632	193.8442030994	419.0561430592	283.0465911071	356.2013236634	236.3487105391	413.701013883	428.4669873857	411.652170329	318.1379708286	401.0161077558	126.4440462017	209.0244925073	724.3482948855	253.3848215193	176.3881662691	197.2096308466	88.971259202	79.1820351011	143.9649766963	206.4779314938	168.4850237779	36.8946850332	91.2372189936	30.2728236329	84.391346009	92.9285978983	50.2190862356	178.8643471305	974.5563651607	243.3366234942	305.6669248918	283.4124694598	165.9052129596	140.5071504836	375.2130878623	213.33097152	314.6941057415	137.6341390381	211.3598438659	130.1566376013	433.2215675697	136.1572087864	287.9999605484	222.2687005124	137.0347512698	210.0247449497	286.4429515949	399.4926759626	268.1427132169	91.266072447	194.4199127436	170.9494792228	245.2673415971	65.3389786518	88.6025898645	48.1707691902	113.5601733539	49.4134236418	130.639908918	54.0185948661	70.4098219606	80.7823631944	64.7213953362	222.8789696508	345.7165434331	209.8098257659	192.6814544792	26.8604404143	192.9276436731	361.9016554161	352.9452233341
Amino acid metabolism| Glycine, serine and threonine metabolism	131.1168089124	212.9923663207	169.3870894075	555.9148839965	167.5874168634	428.6914059281	161.607278584	192.6649404629	114.2812005695	156.8517593464	302.9347032189	282.9286834217	335.0266180283	193.3439747142	375.2641297698	444.4872289067	395.1058339698	282.5008742116	335.3259508889	110.9130144095	168.5422322456	587.2901081899	237.037886984	147.8636724886	218.6014024814	75.2596823377	71.7758286425	120.6453212266	195.498607222	146.4071494341	33.2957474709	82.4918373948	28.2057941603	72.5726471799	74.237176207	41.0067689538	129.726188387	772.8083430347	190.8324840689	269.5850539429	268.3245583018	150.5304508789	123.1745354527	391.2026922425	176.0386859653	296.8552750582	111.7340912142	182.1309072854	94.1509828028	448.9673496091	119.1946854102	205.9964318433	160.9914035403	97.7061320751	163.7162890799	235.9488935627	395.2612606931	274.5459404242	72.4519538447	154.3492660634	159.5568542868	258.4745562207	53.0000998111	67.9313023023	31.7309628009	89.9315390222	41.2800026755	95.6486719003	47.0287242024	57.5744606631	75.4959994402	38.7387937175	185.0202045635	342.6378999727	172.7914056822	155.8893781127	23.7349394914	168.9983090143	292.7228042967	296.5419532646
Amino acid metabolism| Histidine metabolism	171.9714642546	276.8852399066	234.1648668024	718.9268076643	163.447330717	654.2868268668	172.9303368955	168.923274246	99.8277613371	156.8988158224	286.4367455182	350.4585451348	467.8165554031	260.163998509	498.3057233857	630.4042144443	455.7400647977	306.5667162848	394.8941651135	106.8521184539	194.6271365999	780.2430814018	229.3855981975	51.4930265371	324.2606593634	91.752300313	82.7882280649	95.1118389173	209.7250464677	227.3711013132	30.2172909473	100.2553465316	30.2797648738	94.6386052513	114.6553762331	31.1344965456	111.5113016133	408.3297387529	208.9446455437	302.1943101085	341.9379090229	141.0384137454	143.7712468045	573.1584249582	191.1178133961	357.8829890774	107.6859252239	164.8357218841	88.2217629551	609.3563379649	146.5481228439	223.5472537016	140.3815184362	93.400909629	144.348984138	297.2553423766	562.8542394585	379.0132380171	85.0787189768	186.3999504485	222.302636969	354.2466365328	39.2661748295	52.9150604805	29.021601886	129.1323736191	27.3512954445	118.1704289512	44.9737199814	66.6584177781	109.5684859106	50.4051934295	221.8090374374	470.3662444348	210.773488078	127.8339562224	8.5974495169	168.2017657685	348.1308705175	354.7828065293
Amino acid metabolism| Lysine biosynthesis	232.4589007589	389.3048660567	276.1828903763	702.2231712245	259.1790173987	712.6821691771	238.5345974351	291.230041943	151.2484919888	239.1908247604	509.9682689281	365.7030130441	438.2724408224	325.7627889685	555.6372012874	510.4317643462	578.9027668074	460.8407482164	495.9684907309	139.5495960964	258.7888890964	976.72194202	309.4005533542	146.7037054523	258.369507514	117.3581212215	96.9940899134	191.34692331	252.1088672948	268.7023464566	40.9114351763	101.7238742808	40.5108599842	109.2813708779	146.5111968546	64.139823107	209.4044942892	654.6156024	340.2206605338	401.6796431391	377.8345830878	187.8004149703	176.999690737	508.7877424132	267.1805223679	405.1114942342	171.2606509335	279.0483610382	148.3722248638	568.2947857693	170.9889524377	358.895730034	243.0975856251	154.2905144959	248.8780939185	370.4671590434	528.7151324088	313.8566103413	109.6838303558	245.2868609633	208.5790578046	294.3163141318	77.0308052374	107.9914869338	58.9069399175	140.6052064986	51.7393706902	148.5393592738	61.0193490936	84.6829567132	112.980652854	73.1609726576	288.7937475307	399.0186597401	269.7034964373	196.4434814836	17.9567217686	242.3208231961	462.5856496405	407.6966884534
Amino acid metabolism| Lysine degradation	0	40.0663605568	32.7891193999	84.4536149072	30.9143016105	58.2782358646	32.4580462707	33.272916317	0	27.5987859829	76.2775501523	34.1648322148	60.7243563369	34.3457297277	78.2282813759	47.7258719964	64.0170445646	48.9415288825	69.1286335307	26.363412256	37.4633122028	166.6237655796	56.644181034	195.3917673551	31.9539458545	11.388896848	9.5234043382	0	54.0365901841	23.1229442666	0	13.5230191371	5.2081408994	11.4990165295	17.792002057	0	0	357.6603098442	0	47.7499981536	33.6082401583	25.0304704302	20.8393680808	46.0807297576	40.5833947166	44.2323100369	23.2752070423	34.6624200621	24.0948401142	71.2990011442	17.5093465966	68.5739785302	50.0000845303	0	37.0714523912	48.2041069216	59.3195866688	49.2209970576	13.3401430376	28.6996658662	25.7728850628	51.7759236748	0	0	0	12.177334006	0	21.2454297948	12.5225184494	0	10.7432126281	0	30.2164036944	49.0036711316	31.945366016	37.3525540851	9.7509978546	30.3314738781	70.0915135141	75.6688298837
Amino acid metabolism| Phenylalanine metabolism	29.2783300655	52.8643871294	44.0224403124	156.0979605326	40.355801835	125.4731936693	32.9354147467	59.3130731389	29.9649495069	29.2104320708	57.2908434199	84.4322181388	114.3276997287	50.2572246478	117.908580744	165.6184269896	113.3846266291	83.0519373946	76.118180975	21.5062626253	38.2462321228	168.1081251271	40.6569429958	72.4266604724	78.300804746	20.8693361846	20.1586271142	33.4635813576	80.4286298349	34.6674616376	4.6109519889	20.5358765713	5.1709543133	17.636528465	14.6752706642	0	14.4621417847	398.1602810724	50.3712594537	80.1647688697	80.6420464803	38.199207893	30.7766921005	127.5974989568	38.0067720645	83.5044833631	24.1262281599	48.4192693007	14.5414055054	143.4165908607	38.7605102518	51.1313856236	28.9938177784	12.5428833703	30.6738395975	68.7820856423	125.1609480061	104.3552859895	17.3772923735	45.427944979	50.3694025574	90.2309130383	15.2421894304	16.7913631116	8.6592244212	30.8556957922	10.4437554237	17.6003240026	9.493026216	15.2232054798	29.9619381685	9.9907450627	53.0515863543	113.7654711787	47.7977471483	44.9115412429	14.4623518052	50.8162636984	65.2789472504	59.6880065753
Amino acid metabolism| Phenylalanine, tyrosine and tryptophan biosynthesis	150.6422062177	237.8882521576	183.5317992712	498.9354904077	143.7376801143	478.7176915101	152.0948206918	215.0848682771	97.4804083266	132.733748941	212.5144220305	250.1142417397	329.0708515651	217.9302597995	385.1168203027	427.3169653756	400.9179530024	295.7938971	356.5427945387	93.0264076145	178.8674177712	745.8773065136	178.1903346618	132.8669079406	196.358498482	76.4749059304	63.206147227	116.1344404302	175.0081278496	178.6094118575	22.5995438273	73.9334486986	18.2443945576	77.2904709511	88.4281232449	38.1917473418	106.2051209291	561.8487355373	210.9568250059	253.2510889404	264.0960239425	119.9924255033	115.8281620533	356.2536029551	162.427922848	255.3511839141	95.6243856431	188.6878129167	73.6828448768	428.1089424724	111.9610967837	187.2898757822	106.9301466214	71.994927979	140.0450736157	220.0391997085	384.3237068788	242.2406176203	64.4340685161	163.2552281869	149.5584747319	226.7675201606	48.7031722736	68.9266512692	29.7605350055	87.7016082984	35.8070131194	87.7131108496	37.7235157008	61.247360373	74.9703979455	42.1085763478	180.7524787731	303.0401722556	158.5593740367	120.5626307263	16.1758588975	161.3582235037	256.0024462393	266.6016819578
Amino acid metabolism| Tryptophan metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226.0049911688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amino acid metabolism| Tyrosine metabolism	0	0	0	0	0	0	0	0	0	0	0	0	107.6271215633	0	0	0	0	0	99.184259795	0	0	231.901472515	0	105.4304846981	0	0	0	0	0	0	0	0	0	0	0	0	0	359.3002188006	0	0	0	37.9891169515	0	0	0	0	0	0	0	0	0	61.5414604944	0	0	0	78.8396173174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.138233972	0	0	0
Amino acid metabolism| Valine, leucine and isoleucine biosynthesis	405.5048904447	632.9440242794	540.7902034668	972.1244404551	489.7562114896	1008.7643645263	511.3190446484	622.9132019711	356.7256383906	505.1670928632	1173.5969428854	573.6395983794	728.9742610251	516.7463382254	860.3886485588	955.8184511463	1123.9495807247	888.5880234334	910.2090819552	324.6633132041	464.7048063029	1480.9888996659	682.9775193805	276.1567634473	392.0471660636	184.1289779604	162.9080365464	397.7860606685	397.8172509303	386.4833154842	107.3898282316	216.9654372835	89.236863743	190.0379594226	219.0751893526	169.6848063234	495.1273968906	1357.1734814476	648.7584451634	767.0601665463	614.9682503356	399.2836648065	313.452614239	711.4222082346	507.3687646947	639.2043892405	399.8605790034	631.3451081337	334.7266691941	822.6837898912	294.0367158931	706.6045222917	693.3152936886	388.8319296064	582.6872149834	610.2693168148	760.4487130991	486.2406695415	229.7158399456	449.8242416486	358.3601336252	469.8617241763	213.0543914686	283.3642068122	146.1216860345	243.8349187765	168.6280631626	322.4290200089	140.4209340058	177.9382496725	158.2928585503	126.7575253515	445.4155370851	655.4817892499	504.3118102894	454.1552988633	54.9827607373	516.8529565152	847.9321139088	900.7914872044
Amino acid metabolism| Valine, leucine and isoleucine degradation	0	0	69.4410585972	226.4438007593	0	0	0	60.7408823844	0	47.2226911317	113.3288098679	93.2804665811	117.8656729193	65.9256401665	134.8362060054	150.08521026	126.2877739208	0	104.3601331712	35.1897083584	0	195.8911114432	82.4937139678	62.9966757161	76.8963818438	0	0	0	0	50.2805664773	0	29.4702537721	0	0	0	0	35.7789854411	270.5527770345	0	0	0	0	0	119.5497149725	0	100.7581252287	0	0	0	140.0075595925	0	0	0	0	0	77.2714520055	143.9980782843	97.6621219241	0	48.0571632036	55.217435759	90.5334680565	0	0	0	0	0	0	0	0	0	0	61.2446837303	121.2838329867	62.1821370791	0	0	56.8414869858	100.8511539249	130.7194059763
Biosynthesis of other secondary metabolites| Penicillin and cephalosporin biosynthesis	0	0	0	141.1671235791	14.173232909	59.3436689449	0	0	0	0	0	56.5835111908	72.7948244894	0	56.521537029	0	71.103236231	30.4754995127	0	0	0	0	0	238.9691878244	42.3249941755	0	0	0	34.4555555881	0	0	0	0	0	0	0	0	87.1322489248	0	41.3391679566	47.4951410508	12.4483786447	7.7115850872	118.1987366964	23.8929084695	53.9269453692	0	0	0	148.5661599954	19.9908049225	12.2860904671	0	0	0	42.5242704665	72.3774002102	303.248955739	0	18.871549085	23.4198853932	54.5435720134	0	0	0	14.0309062827	0	0	0	0	20.4442374087	0	22.078082169	64.7568541263	27.7223505784	0	0	0	0	0
Biosynthesis of other secondary metabolites	204.5709609358	323.8969126376	280.8001846313	1346.9706154825	299.7341255625	531.697293025	237.6075606137	456.6739096916	202.9838102206	419.3561193562	427.3406726296	56.5835111908	72.7948244894	281.8581047842	931.3519924499	0	71.103236231	1014.796858141	0	195.002331363	211.3127701292	0	356.2956513614	385.4125617857	357.2198368142	138.2974061329	119.9321889801	381.3507480622	266.0302044641	152.0471429574	77.1713554312	201.9058675744	41.0868415438	99.0305781925	79.1164335085	130.6554604949	275.0213822297	1158.4343904703	655.478544014	662.8202627137	505.4298814129	204.7910482818	154.6184135891	685.2199679566	317.7305605399	53.9269453692	334.852626788	659.737714036	203.0497208777	1068.9844271865	19.9908049225	449.4557902753	0	0	0	427.2409661891	703.8757043052	772.235545334	0	18.871549085	299.9512229066	589.9359156418	170.844279514	247.0646334677	0	142.9205069552	119.7267447904	168.5246203761	60.6387095088	123.7909383091	20.4442374087	83.6922312733	302.9187787317	605.2291330726	311.6930900032	186.0417837954	17.1529136215	326.1201163004	0	0
Biosynthesis of other secondary metabolites| Isoquinoline alkaloid biosynthesis	0	0	21.35024618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biosynthesis of other secondary metabolites| Streptomycin biosynthesis	204.5709609358	323.8969126376	259.4499384513	1205.8034919034	285.5608926535	472.3536240801	237.6075606137	456.6739096916	202.9838102206	419.3561193562	427.3406726296	0	0	281.8581047842	874.8304554209	0	0	984.3213586283	0	195.002331363	211.3127701292	0	356.2956513614	146.4433739613	314.8948426387	138.2974061329	119.9321889801	381.3507480622	231.574648876	152.0471429574	77.1713554312	201.9058675744	41.0868415438	99.0305781925	79.1164335085	130.6554604949	241.842179247	1071.3021415455	557.1965789857	621.4810947571	457.9347403621	192.3426696371	146.9068285019	567.0212312602	293.8376520704	0	334.852626788	659.737714036	203.0497208777	920.4182671911	0	437.1696998082	0	0	0	384.7166957226	631.498304095	468.986589595	0	0	276.5313375134	535.3923436284	170.844279514	247.0646334677	0	128.8896006725	119.7267447904	168.5246203761	60.6387095088	123.7909383091	0	83.6922312733	280.8406965627	540.4722789463	283.9707394248	186.0417837954	17.1529136215	326.1201163004	0	0
Biosynthesis of other secondary metabolites| Tropane, piperidine and pyridine alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.1792029827	0	98.2819650283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carbohydrate metabolism	1480.3554380739	2270.1366807957	2335.0747422733	8623.2019062129	1763.8279203939	4776.7583068601	2019.2138656693	2569.3288692842	1199.1423424874	1964.0661634969	4578.860717063	3577.0803107355	4876.5706167202	2466.4563112062	4562.652203077	5553.3403095299	4536.122558027	3187.8420149095	4492.8122359493	1191.1556569965	1739.7393363424	8531.1590670303	3370.4582554324	2717.1811300936	2420.8404897609	822.5811094836	793.3610130835	1283.1735621557	2859.6988939936	1820.5809935862	378.6529762735	926.5419564271	326.7068669439	821.3977309406	855.3919542475	421.5283565679	1670.116861271	12288.4083009648	2172.3923240703	3114.6129359672	3098.3058494711	1778.1927385833	1263.9253132052	4348.0837951377	2000.9233617659	3332.4592092875	1529.1731965439	2028.8889398753	1162.7973190956	5808.9095365994	1426.6811086864	2982.0858426113	2005.9695152566	1112.9580099331	1814.5195302904	3269.5588309543	5078.88595917	3798.4139299552	831.6459801905	1823.1267328786	1991.1174287529	2870.1686217079	647.0002969243	762.4095194615	468.0408836932	1050.1950690242	474.6761087177	1178.0799396348	520.2557131807	651.1255303177	929.7752610037	425.2212050239	2342.1113499658	4321.769709224	2008.3594744038	2154.6578427736	363.0943019598	2316.6666964349	3951.0842181248	4293.064080974
Carbohydrate metabolism| Amino sugar and nucleotide sugar metabolism	140.1253907198	227.3914303558	167.6726677049	816.5251011216	166.2158521979	475.0847482333	162.2066130021	257.7404168175	110.4334613789	152.3526655103	320.127729746	313.7852714286	476.0646026874	209.4365327154	461.1972406182	549.2629091469	476.6690422068	348.4976815791	329.4741877474	109.0541549546	148.697453542	587.5419661143	232.1694420598	200.522834568	282.3582997789	80.6257843227	76.1021655233	121.8649902373	203.0766418601	150.6792668992	34.8986850442	88.8886050782	30.5308538219	75.3429660371	81.4929850829	40.8756262501	124.9006024845	684.3124499221	203.5132409076	297.6573040342	311.9730841411	142.9999529687	119.1866914436	465.6767071266	189.8059785212	312.3557244462	121.7614341182	192.4239407236	105.9443986954	549.7982437339	132.067823262	224.3777583899	176.9099645252	76.6148119962	148.7184735645	269.0915968984	447.0616820937	347.4213896522	75.78866831	171.1160719275	173.1236309404	290.3389092913	56.3042280648	67.7483848389	40.6262259966	104.474306857	41.372901183	116.5436021074	40.1723568971	54.9574131518	96.3366446704	45.0094724724	238.5418090329	410.1159626474	180.5368227201	133.1497070918	20.6258543605	175.1250824707	325.9754846047	393.335327097
Carbohydrate metabolism| Ascorbate and aldarate metabolism	14.9149845652	20.933138111	22.1081329613	172.3889362711	34.7113724177	52.034039355	39.0013674084	98.3189184992	32.4708718154	40.7277443259	62.3237459472	52.9665781115	104.582773934	30.6962881028	115.7652633798	203.4256553928	96.0861241253	59.1485983584	51.6944239904	24.8563355754	20.3747011308	130.2650763285	38.602063869	123.2679578212	60.6496155102	10.2456335349	12.9592780211	30.9822464805	73.0035578706	14.538956396	10.6330372326	21.9479864858	5.8676355348	10.8827111757	13.1573444401	12.2617567566	17.1445116018	668.4020244297	45.7804221036	75.3204477285	50.4590019374	41.169318471	20.829724613	72.7373412417	28.8940355407	50.9772132393	37.2389387479	71.923771783	31.4474404063	78.4516013247	19.8986017506	46.8119723904	48.9315505654	0	41.6276355107	67.6972103659	115.1053096021	80.3767042968	14.4598710265	52.4105239703	37.8185318973	63.3990473441	17.6780843702	22.9972821039	19.4902392471	12.6647641167	14.3351119987	27.917259465	10.088893953	12.7281634613	16.3355048905	0	36.9502286094	80.77514933	34.3385894653	53.6645536081	21.2755351935	50.0565710964	64.274906884	63.102355946
Carbohydrate metabolism| Butanoate metabolism	82.6923745334	123.2794992217	117.437856908	303.5165580284	108.3815685321	229.0194329807	108.6213321675	125.1258035613	67.3355407243	120.7125755829	208.8011672274	158.1056138757	185.0055667218	111.7440389668	240.1345874261	237.3595527868	266.8676255796	191.5220452622	188.3081825291	66.7923475663	92.3835158819	358.4190769123	147.6714387617	125.233731141	126.0763469899	43.0094069471	40.3905862837	81.6490173484	123.7721196162	73.8113816411	19.9836340258	50.6521170003	18.0190537407	39.7684928848	42.4645067278	0	79.2503752334	594.9269879102	137.2008647886	186.7820688787	153.0016704681	90.3471966208	72.2894813053	216.1944364179	129.8415359328	166.2422569776	83.8978696149	124.2433132667	74.8301587942	263.9970830653	76.9086541479	166.4299427525	134.3962659563	76.7150949567	117.1327238715	141.8648651439	207.1553211833	168.1141628889	49.5160915012	92.5699213439	86.8007320986	137.5190988124	0	0	0	52.93354475	0	69.9518006421	33.1838010583	35.0751506737	41.8501576037	0	103.7808616458	184.1473328314	113.9855432595	110.1603949005	0	123.4994479438	160.6071934452	211.6797595384
Carbohydrate metabolism| C5-Branched dibasic acid metabolism	0	0	347.2505866852	657.7422461405	0	0	284.2120333319	259.0520973074	0	264.2873867934	654.4866887859	398.7000708637	545.2294646569	323.2247809885	0	573.2900646012	0	0	535.1669392832	0	0	1160.8700549431	407.6594415195	208.0763312801	0	0	0	0	316.601620369	274.6348827833	0	0	0	0	0	0	206.5227106916	1133.5026549071	0	0	0	0	0	0	0	0	209.05228184	0	0	609.5605024672	0	424.2706464597	0	0	0	398.5274360572	538.2696865117	0	0	0	223.0830348744	0	0	0	0	0	0	0	0	0	0	0	0	430.6325179486	0	276.6900323014	0	0	462.4222546166	504.6488147943
Carbohydrate metabolism| Citrate cycle (TCA cycle)	0	0	214.8398899304	698.1217584753	0	0	0	0	0	0	320.4524564239	0	0	0	0	0	0	0	336.7699566453	0	0	476.9823783726	271.0176927627	136.830601706	0	0	0	0	193.8703799516	0	0	0	0	0	0	0	0	827.1492685529	0	0	0	162.7587648569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369.0547993397	0	0	0	0	102.0377073039	0	45.7354873378	0	0	0	0	0	0	0	0	0	0	139.5029514377	0	296.9182533771	0	0
Carbohydrate metabolism| Fructose and mannose metabolism	138.6947831031	218.5899709529	155.5450159673	930.3566969962	167.2351280465	466.6013092621	164.0724984188	238.6846360458	118.5322452785	157.965739449	307.9363441275	329.4265539604	464.7495200301	208.0851286561	479.5985991253	515.192346142	451.5313600238	322.5029962422	341.3369385967	115.1147514538	162.0377470992	679.6818963008	264.2286531259	327.9538610735	258.4966654314	79.7577333237	80.1299039374	127.9177329221	238.4010897198	154.6778851982	35.9842027359	90.1240867167	31.1140742394	82.9998207261	79.3432534151	43.9479697042	136.3878573571	1060.4124889325	216.3782440308	326.7978796678	314.2626942263	158.7215395186	124.6191239644	460.0524151908	198.1512477441	338.5435447641	122.6720556837	199.2259942529	104.5893311777	581.5200361001	150.2564614683	229.8073584513	158.3922792101	90.1929559862	167.7977693552	280.2106088564	488.9249228492	382.7155052529	77.6974177432	166.8435023332	185.1232531276	316.8481633642	59.9814448198	80.2876653517	49.2815033271	102.2164300823	50.4634944861	109.7768617157	50.258887507	59.407574906	95.9528035504	48.6002478175	263.3227056163	405.3695561428	191.0090484599	160.4402350118	46.1420194205	213.5483817122	302.8815061719	352.4102058838
Carbohydrate metabolism| Galactose metabolism	124.7368824827	201.7947084541	143.1369518146	741.6674712804	127.4432744188	417.1149536988	137.8512500595	173.359434715	87.950661076	118.0690596069	293.5973994295	288.3830916667	371.6113964565	188.365126308	420.3589082472	308.8426684101	401.7697792141	274.5751709564	296.8469948257	90.5221271618	129.7378304368	689.5148493101	211.7641173995	245.3414160706	210.5151118976	73.5569206452	66.7471009508	105.7077459856	217.3222774781	161.5910332259	27.9371839466	76.4487437961	27.522202132	73.9771020348	85.5201102331	32.4584140145	110.1273493703	1003.9457209406	174.1530363426	248.0828259307	285.4094381465	127.2913396999	99.9021773653	395.0598379958	156.1427668044	282.7063244232	98.9463085342	166.1257064392	81.7441616776	503.5784579247	114.0667805693	201.4851602329	134.5540263474	71.1711192079	116.3006270083	239.1604458984	418.9690315093	338.3686582328	61.5273836617	135.6959256532	144.6596685978	253.7477289777	42.9297223772	56.6658623173	29.3430443114	92.2537480634	34.7797138571	85.943418318	35.7324332531	47.0247286566	78.051446696	31.3497825874	198.8312082161	374.6703783168	156.2222934011	144.0970347578	39.3747797799	159.1234487387	272.6715176666	319.4355318168
Carbohydrate metabolism| Glycolysis / Gluconeogenesis	186.7839060796	266.1241820528	224.9358943208	773.180849352	222.5156521467	517.9332855292	225.6432859393	253.7773603825	152.8078971267	208.1966577374	441.7244471263	346.9183696914	430.7046309636	263.1431740832	503.3906518054	461.4591732206	489.1918905104	367.1024483685	456.3690696468	151.9558563906	209.8754243219	767.9575093874	316.7567503045	290.1877294231	232.5054656061	95.314064051	91.7494651279	153.6818633502	257.9668806585	175.8675392985	47.6251506759	110.2094416441	40.3700418831	97.7101837399	95.5022139016	61.3408348436	199.6019304218	1070.44823152	271.1014738137	377.9197707666	350.4441844487	197.4749835439	151.5221966062	437.0571532429	247.213361696	359.1039201617	157.9385694694	237.9937051499	136.1927536175	528.6729845337	164.6325089798	309.0332380938	252.929156294	145.4489816419	227.4419307013	316.6438942593	480.802040582	397.4807490411	101.1877446278	195.2094766824	194.0226392363	301.7220633702	83.1119786222	109.6514055071	52.9748054671	119.7289582517	72.290595436	150.2356342482	63.8909789044	78.3441242587	96.3092412941	57.7058766476	278.6542041311	419.5419273348	242.9309398412	220.1419513256	46.7778752386	269.9245290178	379.5421773904	437.684836758
