Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
GO:0000162	1691.096	4200.159	1800.137	15458.96	1297.27	1883.447	1554.177	2481.876	1484.676	9363.481	963.321	959.291	598.631	1002.475	1428.726	1178.402	6515.864	1178.402	2103.907	4081.285	5772.491	6515.864	3129.63	4386.611	6205.199	5454.852	4054.723	4323.986	10183.893	3842.334	11073.101	4886.194	5702.288	3884.549	2356.726	12025.824	5208.471	3302.405	6042.701	496.843	1767.788	3495.318	2349.436	1605.484	4857.074	2639.468	4367.25	1947.732	721.553	3844.606	1399.657	878.757	901.682	3249.002	2093.559	5514.108	1833.09	7542.595	9363.481	4909.263	3478.197	492.767	3757.38	5468.022	1436.824	2898.593	4895.988	6416.812	2937.062	1222.715	4241.424	4446.86	221.103	6878.76	4016.245	6107.02	2565.359	2542.96	767.353	3265.448
GO:0000175	112.988	161.684	94.844	1612.154	36.677	25.066	107.979	41.268	18.76	34.348	32.428	45.739	27.569	314.248	42.171	43.935	317.177	43.935	165.643	25.946	366.132	317.177	130.612	58.5	241.459	488.383	112.041	171.215	1022.763	115.385	45.668	329.655	92.399	278.492	127.868	823.716	166.577	311.825	208.176	14.24	59.005	19.231	84.95	72.082	13.919	358.365	247.436	15.653	131.157	26.242	34.666	4.005	0.944	34.233	96.749	76.303	21.265	232.566	34.348	159.106	227.97	142.928	46.786	386.21	57.029	556.532	75.442	345.892	63.012	227.784	171.974	256.929	86.943	42.628	37.954	553.129	686.22	36.227	308.501	479.312
GO:0000178	0	0	95.147	0	6.168	0	71.052	0	0	0	0	20.525	16.366	0	0	4.526	0	4.526	80.949	0	20.753	0	7.941	3.884	3.752	2.011	16.27	0	0	3.496	0	18.253	2.879	0	2.36	16.113	0	0	0	3.436	0	0	71.899	0	3.824	11.673	0	1.912	0	0	0	0	0	0	0	0	0	2.532	0	6.532	0	6.86	0	0	0	0	0	13.492	0	0	0	128.871	0	0	40.928	0	0	0	176.989	100.181
GO:0000179	792.787	5250.094	1167.79	5657.679	1869.256	1609.357	525.645	1505.784	716.087	3176.115	1962.718	1014.398	2030.488	1031.919	4431.621	921.13	3375.126	921.13	1266.814	5882.01	11630.735	3375.126	4304.219	2786.904	9431.473	7229.464	1719.499	4083.304	5957.595	3580.144	4052.655	2271.806	6125.037	2302.354	1448.027	6707.477	2609.75	2658.022	2838.22	286.55	965.407	2557.222	999.604	1044.956	2683.661	1281.172	1642.195	1093.116	977.992	1687.059	930.068	1320.063	1345.307	11446.945	1287.448	2139.327	1418.036	4601.738	3176.115	4297.036	1799.082	408.074	1886.776	5067.478	1563.246	2612.022	2504.89	4729.537	2286.042	1157.444	2852.577	2893.066	443.971	3214.273	2694.075	9002.719	1057.203	1419.721	413.494	1830.633
GO:0000184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.642	0	0	0	0	0	26.952	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.367	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.985	0	0	0	0	0	24.406	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000213	0	0	10.643	0	0	0	15.13	2.128	0	0	0	0	4.256	0	0	0	0	0	15.012	0	0	0	0	0	0	0	0	0	0	4.278	0	0	0	0	0	0	0	0	0	0	0	0	10.535	0	0	10.707	0	2.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919	0	0	0	0	0	5.519	0	0	0	17.14	0	0	8.579	0	0	0	36.458	25.629
GO:0000256	13.425	80.455	15.698	193.654	0.733	69.653	119.073	20.326	3.022	38.427	1.483	8.302	53.884	626.227	16.833	4.938	55.005	4.938	63.419	17.793	48.213	55.005	141.559	48.464	243.961	1268.192	40.171	9.747	36.977	170.877	4.556	126.84	13.235	24.135	5.345	1488.294	616.594	748.913	76.852	32.303	10.575	25.676	57.556	20.91	13.867	874.069	78.5	9.72	9.743	18.863	54.813	5.088	4.468	60.482	39.613	10.765	10.485	134.369	38.427	46.055	109.39	508.656	26.059	32.008	17.203	46.863	8.886	15.315	18.1	34.25	13.519	44.007	365.142	15.735	8.72	10.439	70.756	29.323	155.899	33.204
GO:0000276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.75	0	0	0	0	0	58.799	0	0	0	0	0	0	0	0	0	0	0	0
