Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
K00031	406.9045409502	299.9202622184	788.7424612027	179.7595033248	63.0588172786	245.391177744	271.4889295002	1043.3486923623	438.5813298431	632.3126121056	169.7833480926	152.7402884681	94.224471549	153.4063595724	515.4592501405	546.1750165061	16.6165882234	397.9810165546	315.3739370789	875.3290610463	909.6288787723	496.0056964286	379.6183672007	496.9811310613	1195.0546238702	590.9986274059	486.4338971248	501.355968432	819.2763915858	649.290378678	766.1314370694	937.0696987365	696.2669216766	932.861100443	389.7195929004	379.5142119668	578.0823360563	1298.7478845781	779.354635739	85.6921764792	260.4757130474	54.1787451556	609.8537593225	319.5962052486	166.437998627	143.1833832041	264.8636154821	509.2786654031	318.6802196397	415.1303807482	88.3764322853	176.2798019723	192.9430449462	572.9983880482	134.4304777954	240.7248364151	369.6222889472	330.6665871071	1145.7192280635	513.4149992892	169.7679553227	132.666079229	544.2496811439	671.7240321084	327.8033016957	378.1864142561	314.8374082097	887.3308790845	313.5283009526	632.9596433378	507.7822663747	414.5201764932	556.512638685	521.9429143786	547.1070086953	874.3747056933	612.6730851847	451.021886906	293.7189364564
K00036	65.1073108639	64.1049168343	534.9915187645	0	0	77.8383548587	54.8353392078	326.7232087435	126.0613349558	378.5082773165	13.3921315767	88.6756111312	0	26.3806300745	82.0681772671	49.9065437022	45.1494005561	74.7735273358	118.3241461997	250.5784060936	279.4646171674	59.4667698665	23.6164148565	42.8103249363	93.2577227446	251.8805191795	622.485162547	70.7570875548	314.6368622555	41.0824690734	627.1814384143	269.6744697167	114.8919065522	166.0302246389	66.9671756442	52.1205435369	22.3744367474	191.8159551355	178.8294065399	19.5497105873	58.7866572855	261.0243873491	28.800974391	331.8026553976	42.3189824094	51.1513293612	23.4768775136	902.4950968681	243.6340392751	41.1890548802	24.242333	34.3985784351	31.1221941557	0	0	37.1612730175	91.0152261167	157.8644893482	876.7940202112	380.0982872084	0	0	96.4343801831	264.6371721045	27.4008905196	44.6014517809	25.5245976529	577.9367314575	74.5124691794	166.3894746039	36.3600078959	0	43.1045874655	20.3544583836	213.211394977	539.3265874579	209.9597698303	388.7917579542	50.7182506063
K00040	61.4509095786	50.7137887535	131.0914904353	115.9541905263	0	35.0617539935	62.0188970175	195.7161954937	71.9086710159	0	63.013956391	43.3725319944	30.8717933981	38.5807573854	118.0056434522	39.6600526859	51.8942778235	98.4508810933	182.314633791	291.687465973	220.9737113955	221.6814435913	68.8478511232	123.9526610616	73.2100508928	59.8831747641	39.2677973714	45.9929671639	253.8698527186	65.1301108537	33.8758943454	394.6890907092	368.7099686116	75.561238673	0	46.4515103384	138.9782510316	271.2126335105	91.9712337021	27.8282909865	0	163.4922066018	0	0	44.1155693904	0	150.7326297654	1116.2185685933	116.2142404548	27.558640419	0	0	34.9119684535	215.694650327	37.3824340193	50.5114315807	192.4475698991	31.176121012	0	73.8335998247	0	55.371263733	104.2522541237	105.8748247542	131.3813719483	292.4030888093	135.0945923495	142.6116447419	102.195139558	314.3785434235	132.1660003614	86.7111052645	102.2066005462	102.3807203345	164.9545591806	69.8205012658	76.0693794499	51.0628753407	20.4916055587
K00041	169.1650930743	110.7419107972	652.3089556766	82.5358062924	0	113.5962757768	81.7191806233	531.9195899053	364.2180390195	581.4848589216	82.0490850426	137.9886916665	83.6953569307	48.5901849022	250.1111233566	77.9379723453	37.7576312047	100.5038427903	152.9170144127	459.1451875053	0	196.6101256172	103.9546695373	158.7747735019	169.6497549075	468.023121015	398.3878869494	128.0449449	594.6740636213	123.9658959533	452.7543623784	521.187531937	375.4792542947	202.5177384508	31.3749391752	89.4666103241	136.8874677341	220.7443909684	424.6007784303	42.7708987431	80.7386190441	128.5344715842	0	350.7689491125	98.0848594559	116.6169175927	111.5424699009	963.7934512485	268.2662420968	195.514653305	27.1732398315	58.1034648412	33.3086972292	145.000857834	0	76.498287711	267.2016674395	175.0912633332	801.0608474606	380.5211916555	50.2137595684	51.5357757692	180.9132701666	493.8562306504	157.6337628277	185.5698970666	117.2763580675	768.1445137456	191.2464679177	368.4271496779	129.0438148661	81.8605879326	165.8190226108	239.9910233878	399.8279872093	527.6151064434	365.5504075287	501.2826840653	115.2766417347
K00042	45.9087931154	33.4917377933	99.9479053983	0	0	0	28.9089283525	115.3093311572	14.0857814649	0	45.3545010149	25.6143381398	0	33.4015471862	20.8151554652	0	49.9781236529	94.1659526153	44.7431561962	69.8235505626	122.8295661658	0	0	0	57.7385848253	32.5125488605	131.9245186427	0	0	0	40.7364401163	0	0	31.9100180922	0	33.3885427549	99.964952199	393.6341025488	124.5437788237	0	0	274.5793658465	0	0	0	0	0	981.6972566503	221.9782411549	0	0	0	0	15.0053528797	0	17.4430219317	73.1975778472	0	0	65.4367113445	0	0	26.7470848758	73.1664048289	27.8859121806	0	0	0	38.4215764729	29.0557995363	0	61.744460559	20.8869413156	24.3410071195	110.0289844595	0	0	69.5894782333	0
K00046	298.8036023783	194.1104977004	920.6154556474	302.7067663064	162.2040106284	116.4800659636	181.3413488711	655.6674390109	382.8771438345	796.8012964498	122.9583735837	129.5205085732	55.7476440955	77.3972678721	368.4570335589	236.988662889	0	149.9154513869	718.505916021	502.5279527392	745.8343574701	653.624528108	172.3315837455	365.2267510334	420.8817042066	672.7024304948	716.388318402	268.8360876115	1033.4822998648	263.7153344032	1260.061476205	1537.5473256011	999.0899562339	327.0067624032	64.7602517496	191.7839724645	180.1283031674	245.5968693708	667.3506003541	63.4177082626	148.3452031803	159.1301984568	41.8124962884	505.5777279915	185.0532415052	167.2481530986	543.9806165801	629.2130536563	156.1058513002	82.3250590223	54.607558935	107.7134137719	64.5864428335	592.0168598277	115.2514918778	133.3332309141	473.3824688961	299.0092633482	893.8781110753	445.110382646	253.500900962	182.3561023139	394.9515885333	682.9001653552	374.9677841097	733.9049389567	394.0714734837	972.7928268025	307.8370151754	890.0915623672	422.3751046953	138.4671427165	287.4267418988	545.5344568552	432.8870412831	710.5253645141	760.2786095685	452.8239790978	308.1287832781
K00048	317.0973625298	268.9651104019	498.9892457376	60.0416179458	67.1618452604	245.6102821172	314.5774328663	879.3669404346	339.3016050665	502.1366243399	143.1490443788	123.4966536408	51.3314566319	114.028073377	454.289353857	449.2340628712	50.3785649273	526.4931650828	171.0828087597	678.9467375723	971.9259340061	181.8567639845	400.0856794051	364.696199318	1182.0195132363	524.707036532	656.7224436978	544.9450666104	492.6103177257	651.6896643087	789.5798709256	268.2624142295	262.4101023822	997.9753272309	349.471602048	335.3963759516	515.6129882841	1628.8555102682	608.7561499686	88.3094330781	179.188090249	171.9860106157	710.3307785097	320.6541715942	116.7583925117	119.3647052427	97.2594346101	646.9869173205	365.356866333	379.6315875942	55.7272292261	193.5876691335	189.3778535055	341.682521568	62.8042174126	163.5523250195	208.3644127954	323.6813057752	518.430510344	309.6637513308	52.106108548	63.6421161209	480.9809830696	433.5522805793	280.2154526141	162.6241629768	356.5333099688	633.1010218441	182.8000323857	296.69376514	966.1628305085	438.7346995974	274.122231928	470.4972814181	519.7130497953	686.6438600395	364.1053163677	229.1302712809	180.1094152757
K00050	0	20.0445503409	70.6841870882	0	0	0	0	88.9828304793	0	0	35.0423233486	19.8847775855	0	0	0	0	0	0	0	61.5299793031	58.987269141	0	0	0	0	25.4519949435	0	0	0	0	19.9019804088	0	0	0	0	20.7176927112	58.8552945966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.8409112014	0	0	0	0	0	0	49.4381975156	22.3283888987	0	0	0	39.7192778688	0	0	44.590940748	0	27.9943777151	53.4932058289	0	0	0	0
K00052	404.9725396888	296.8823370943	593.802343532	301.9987953052	120.2322348056	278.3641659538	304.8021401145	903.0779845508	560.703519013	566.7819118915	161.887733425	135.4640869715	189.7286297092	112.0242862599	539.9552671176	494.3307846665	32.1539481945	364.7677825562	516.1368389656	779.0517320112	787.0069136245	612.2529328287	389.3697489403	580.3299184173	1256.1464951715	592.8932957475	612.3145722389	425.9215924953	811.6530632723	632.3540041696	956.4848695497	1059.0062870456	937.3509610635	810.8932734606	337.6181910238	259.6409389421	405.2643039807	1298.6724041203	495.6096555681	95.4764310287	198.4115978719	65.5308397306	398.6212003047	330.2880658712	172.7779807682	152.443278371	396.3598029115	686.9192959422	327.2236559114	529.0789855603	78.8409240844	180.1092705733	187.1398117962	615.2174155399	165.1918831735	225.225153374	427.1091375721	308.5670300189	715.5987233214	402.5569390555	197.8915576415	156.8622209079	493.8569162157	673.9800952847	432.8258020855	647.1396982661	298.2111153925	675.6817648401	283.3596826211	807.9438835281	535.3205860222	356.9760202222	500.0086673237	613.103381214	536.7043622016	633.503526294	631.3801406126	422.938455012	408.1770516561
K00053	511.2262507153	357.0651547557	781.5003056446	390.3178376421	314.4971495765	323.4227766237	438.595888547	937.6670306929	568.2207332759	773.3485123977	219.8340512393	186.2676659992	255.4696279485	177.726201732	672.4084435985	576.6269911943	51.1894214156	637.6244026882	638.5959722797	1025.7178506295	1152.0361807715	776.4815982001	460.3715072747	593.4283601144	1266.9625983022	659.276906938	927.4645382967	429.7657068377	927.6648842766	632.0741349133	994.8883009675	1421.4525665452	1065.0904612021	1184.8798636842	342.8976223897	418.7212853148	471.7397388178	1089.7308508907	848.0573124903	148.1484878989	333.8107910254	196.3634019737	888.4961749426	476.4554365388	220.7011370843	194.0113297628	498.9977761002	1550.1420189139	441.3612413897	567.6676100014	99.9809739009	222.274662669	236.819790865	709.2971354112	205.853549109	307.6806688343	523.2433017807	471.475020942	992.8993634377	492.6430220048	220.9611286824	204.1027177966	596.2152761648	738.2570012405	550.9053569092	863.3888085473	400.3334165757	933.7895179199	352.8239768962	987.300825127	1141.0790599317	527.2573886232	622.4378703118	711.6544677076	823.1987960911	832.0967996687	781.7043494475	503.257027358	384.0682236256
