Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
ko00190	58.5298219249	47.6761419484	185.042880313	29.1119890752	15.2370407179	37.3148210359	36.8132482162	174.9859976027	71.8978004584	160.9152064785	22.970770615	34.6284267099	12.1944727952	18.3497173916	72.4605555002	60.639141312	7.2098189644	52.8155891167	80.1899358985	106.7961633249	117.6498476192	94.5629264739	47.7543777451	55.1050297618	115.1472954784	118.5034480615	162.9235111523	80.6328208076	186.2746476787	72.607629533	225.1819269021	187.8167142942	136.5152686875	118.7127070717	50.1118980084	40.3954814595	56.545175591	186.2210290753	92.0725253902	12.5498237285	36.9125900469	47.9120153053	48.006865919	104.1217869289	31.2843004017	32.3990853469	55.4914673043	273.7876214188	69.2128460789	62.6273844483	10.7423319647	28.171960512	27.073150523	75.5248980722	18.3780245102	28.4445206344	70.7436296881	73.3732021306	259.9628538313	114.8138024346	24.4617570148	19.8003608257	69.3622798409	122.1504226457	46.5521049186	81.4252306322	37.3377448121	213.7103037396	51.7865340604	120.7337844964	58.5833072623	39.3178734098	60.8139152443	70.1024232722	100.578406734	187.2837432009	119.3811269763	129.9129110666	51.1240374567
ko00230	122.5065914183	101.7547370103	296.5195631402	74.800015779	37.8488443037	76.127841651	92.9177447385	364.8331926076	204.5932893565	259.369090544	54.1712311069	61.1534403083	56.6414181815	40.8550790566	158.3751325592	147.5996314701	17.4885397866	124.9547659578	160.9257062412	250.0739386554	253.3904197219	178.9178948831	124.8435630082	154.8534273086	282.7385964797	223.8283727666	293.6313326813	178.7792439468	311.6674457056	189.4389813343	341.0741667401	352.696380317	266.3160401005	269.4824967797	125.5693020484	93.7155815778	140.7137664103	502.1509928281	205.2333235685	28.1102133692	67.9525613659	146.3829264952	116.4196089467	161.3978690155	65.4670525868	60.9669512127	113.6403001713	530.0013420482	150.4620170865	162.3313378478	22.7118507365	60.5143050114	66.9152413786	198.8714322309	42.6959058504	63.8775568298	139.5452410954	129.3426451779	486.0749034175	194.3696368347	57.2604149549	43.8832258202	155.242902386	236.0244549828	104.1393102039	175.9190527235	87.2407450622	348.7758035076	103.0404080857	240.094432813	154.1096239409	99.8566237391	153.970544215	159.996884434	209.5885698309	319.3078444222	222.2927335578	204.6969366035	102.6768437543
ko00240	144.1335091844	123.3086229115	358.2788187756	92.0969699863	43.7359722969	94.8039413459	116.1010766468	442.400938555	231.7678151469	322.1181169116	64.0923581882	73.099911139	74.656173343	48.8434652284	190.5730721685	183.2651377403	15.9351077411	146.0483801326	198.9351484632	306.3442204073	315.3860478517	228.8885580621	160.294908506	192.7921197707	325.7906985891	276.4276617512	374.5720729736	219.1547336636	394.8744887398	238.1617268928	434.5512242716	438.1122429619	322.3081922576	338.1195923446	150.5953827881	118.0167321604	169.6829954531	607.5315270814	254.0908143765	33.112536967	84.5110366584	148.1068138199	135.4124508576	203.6820706626	77.8282451804	72.6183082915	141.2384854681	599.7508737215	169.1607910836	217.3386732287	28.9553167881	74.0763367826	83.4955270934	245.8610790478	51.74528184	80.0613934013	176.9086924858	163.0017993695	610.468426287	244.7697749111	73.7781647369	54.1149049126	184.4642366503	280.6603763501	130.07925461	219.2954356964	107.4655306596	430.8820338603	125.7775948091	292.5647727862	177.8816630381	115.2890762103	182.6674417521	194.6394445187	246.5568876262	396.6361225474	269.4177984543	251.4225727422	122.2593266754
ko00250	289.4773956772	240.5735812787	732.5782235357	0	0	186.0139341095	208.8522707418	810.2893945842	395.4033989956	693.766663028	123.4060228385	142.3915758434	0	0	383.7717796811	332.9481692129	24.8913618706	278.0124625695	427.823086292	615.5230431023	634.9916670999	513.946118173	0	356.5109281443	683.4476050404	547.2949710822	749.9879886553	412.5566386723	870.9391527245	435.1023091659	956.5605759679	1000.077538826	773.4719970045	628.3057483641	275.4808979386	211.6779080374	327.8782168462	996.4453836129	495.1880503984	0	175.6674568955	168.891782112	0	449.715801985	156.7932863527	150.5696479323	0	888.5803915491	310.2040993173	333.4580129942	0	143.6272481972	0	0	0	157.9522200554	357.8963268891	323.9742019427	1092.2530688174	511.615220118	0	0	359.4131567873	585.979745012	277.1344738438	0	224.0843900896	886.817249851	251.5549955937	645.5014912748	366.4800404333	0	361.4480850169	0	476.9555956364	810.8426124935	539.6454302273	504.872614863	0
ko00260	150.5304508789	123.1745354527	391.2026922425	67.9313023023	31.7309628009	89.9315390222	95.6486719003	428.6914059281	185.0202045635	342.6378999727	57.5744606631	75.4959994402	38.7387937175	47.0287242024	172.7914056822	161.607278584	23.7349394914	155.8893781127	168.9983090143	292.7228042967	296.5419532646	192.6649404629	131.1168089124	156.8517593464	302.9347032189	282.9286834217	335.0266180283	193.3439747142	375.2641297698	212.9923663207	444.4872289067	395.1058339698	282.5008742116	335.3259508889	146.4071494341	110.9130144095	168.5422322456	587.2901081899	237.037886984	33.2957474709	82.4918373948	147.8636724886	129.726188387	218.6014024814	75.2596823377	71.7758286425	120.6453212266	772.8083430347	195.498607222	169.3870894075	28.2057941603	72.5726471799	74.237176207	190.8324840689	41.0067689538	72.4519538447	154.3492660634	159.5568542868	555.9148839965	258.4745562207	53.0000998111	41.2800026755	176.0386859653	296.8552750582	111.7340912142	182.1309072854	94.1509828028	448.9673496091	119.1946854102	269.5850539429	160.9914035403	97.7061320751	167.5874168634	163.7162890799	235.9488935627	395.2612606931	268.3245583018	274.5459404242	114.2812005695
ko00270	165.9052129596	140.5071504836	375.2130878623	88.6025898645	48.1707691902	113.5601733539	130.639908918	503.9598613395	222.8789696508	345.7165434331	70.4098219606	80.7823631944	64.7213953362	54.0185948661	209.8098257659	192.9967102003	26.8604404143	192.6814544792	192.9276436731	361.9016554161	352.9452233341	222.5769908448	167.5210214828	193.8442030994	419.0561430592	283.0465911071	356.2013236634	236.3487105391	413.701013883	246.9196040357	428.4669873857	411.652170329	318.1379708286	401.0161077558	168.4850237779	126.4440462017	209.0244925073	724.3482948855	253.3848215193	36.8946850332	91.2372189936	176.3881662691	178.8643471305	197.2096308466	88.971259202	79.1820351011	143.9649766963	974.5563651607	206.4779314938	215.2249653746	30.2728236329	84.391346009	92.9285978983	243.3366234942	50.2190862356	91.266072447	194.4199127436	170.9494792228	570.3519648211	245.2673415971	65.3389786518	49.4134236418	213.33097152	314.6941057415	137.6341390381	211.3598438659	130.1566376013	433.2215675697	136.1572087864	305.6669248918	222.2687005124	137.0347512698	200.2856333662	210.0247449497	286.4429515949	399.4926759626	283.4124694598	268.1427132169	126.6634472632
ko00290	399.2836648065	313.452614239	711.4222082346	283.3642068122	146.1216860345	243.8349187765	322.4290200089	1008.7643645263	445.4155370851	655.4817892499	177.9382496725	158.2928585503	126.7575253515	140.4209340058	504.3118102894	511.3190446484	54.9827607373	454.1552988633	516.8529565152	847.9321139088	900.7914872044	622.9132019711	405.5048904447	505.1670928632	1173.5969428854	573.6395983794	728.9742610251	516.7463382254	860.3886485588	632.9440242794	955.8184511463	1123.9495807247	888.5880234334	910.2090819552	386.4833154842	324.6633132041	464.7048063029	1480.9888996659	682.9775193805	107.3898282316	216.9654372835	276.1567634473	495.1273968906	392.0471660636	184.1289779604	162.9080365464	397.7860606685	1357.1734814476	397.8172509303	540.7902034668	89.236863743	190.0379594226	219.0751893526	648.7584451634	169.6848063234	229.7158399456	449.8242416486	358.3601336252	972.1244404551	469.8617241763	213.0543914686	168.6280631626	507.3687646947	639.2043892405	399.8605790034	631.3451081337	334.7266691941	822.6837898912	294.0367158931	767.0601665463	693.3152936886	388.8319296064	489.7562114896	582.6872149834	610.2693168148	760.4487130991	614.9682503356	486.2406695415	356.7256383906
ko00300	187.8004149703	176.999690737	508.7877424132	107.9914869338	58.9069399175	140.6052064986	148.5393592738	712.6821691771	288.7937475307	399.0186597401	84.6829567132	112.980652854	73.1609726576	61.0193490936	269.7034964373	238.5345974351	17.9567217686	196.4434814836	242.3208231961	462.5856496405	407.6966884534	291.230041943	232.4589007589	239.1908247604	509.9682689281	365.7030130441	438.2724408224	325.7627889685	555.6372012874	389.3048660567	510.4317643462	578.9027668074	460.8407482164	495.9684907309	268.7023464566	139.5495960964	258.7888890964	976.72194202	309.4005533542	40.9114351763	101.7238742808	146.7037054523	209.4044942892	258.369507514	117.3581212215	96.9940899134	191.34692331	654.6156024	252.1088672948	276.1828903763	40.5108599842	109.2813708779	146.5111968546	340.2206605338	64.139823107	109.6838303558	245.2868609633	208.5790578046	702.2231712245	294.3163141318	77.0308052374	51.7393706902	267.1805223679	405.1114942342	171.2606509335	279.0483610382	148.3722248638	568.2947857693	170.9889524377	401.6796431391	243.0975856251	154.2905144959	259.1790173987	248.8780939185	370.4671590434	528.7151324088	377.8345830878	313.8566103413	151.2484919888
ko00330	112.9635460345	92.8377410323	295.7427923818	59.1902647537	28.0190507103	78.3223362003	79.4044530873	359.9716440145	148.484555846	263.7508704383	46.9545788385	60.9813330862	31.2787533167	33.4702051907	148.2800212316	121.9207268694	16.4299037712	117.4193193066	141.7512050994	255.287140652	255.8787122546	167.5912274715	114.5980456049	127.2980158923	267.1649364066	212.1936054476	265.0516283101	161.0219252348	316.5578789916	176.8614042874	331.6332348339	343.6389261756	252.6659309897	260.4842614899	115.0482271926	81.5288968767	137.0439756688	476.5024398149	182.3025351783	23.8604120336	64.6547229163	101.2154904408	100.106965634	170.3282335875	60.8857030449	57.5560071957	99.3570608155	522.1166677811	144.1470287861	124.6353084413	21.4491599103	57.4342184723	63.9058477101	174.2839814876	36.8887378568	60.0127632498	132.7603935034	123.5271895227	430.2394689333	199.8841283259	47.0729469445	34.7761581129	141.1371782657	239.8349492392	93.9320042659	157.3037047385	79.8759934839	345.7657113568	95.696418249	222.2623845058	137.1190631637	85.9277432432	134.3557410894	142.0551106248	194.1775630073	301.8044567969	212.9014076616	211.2523983041	91.077594406
ko00340	141.0384137454	143.7712468045	573.1584249582	52.9150604805	29.021601886	129.1323736191	118.1704289512	654.2868268668	221.8090374374	470.3662444348	66.6584177781	109.5684859106	50.4051934295	44.9737199814	210.773488078	172.9303368955	8.5974495169	127.8339562224	168.2017657685	348.1308705175	354.7828065293	168.923274246	171.9714642546	156.8988158224	286.4367455182	350.4585451348	467.8165554031	260.163998509	498.3057233857	276.8852399066	630.4042144443	455.7400647977	306.5667162848	394.8941651135	227.3711013132	106.8521184539	194.6271365999	780.2430814018	229.3855981975	30.2172909473	100.2553465316	51.4930265371	111.5113016133	324.2606593634	91.752300313	82.7882280649	95.1118389173	408.3297387529	209.7250464677	234.1648668024	30.2797648738	94.6386052513	114.6553762331	208.9446455437	31.1344965456	85.0787189768	186.3999504485	222.302636969	718.9268076643	354.2466365328	39.2661748295	27.3512954445	191.1178133961	357.8829890774	107.6859252239	164.8357218841	88.2217629551	609.3563379649	146.5481228439	302.1943101085	140.3815184362	93.400909629	163.447330717	144.348984138	297.2553423766	562.8542394585	341.9379090229	379.0132380171	99.8277613371
