	Acidaminococcus_intestini	Akkermansia_muciniphila	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_unclassified	Anaerostipes_hadrus	Anaerostipes_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_clarus	Bacteroides_coprocola	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_pectinophilus	Bacteroides_plebeius	Bacteroides_salyersiae	Bacteroides_sp_1_1_30	Bacteroides_stercoris	Bacteroides_uniformis	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_breve	Bifidobacterium_longum	Butyrivibrio_crossotus	C2likevirus_unclassified	Catenibacterium_mitsuokai	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_nexile	Clostridium_perfringens	Clostridium_ramosum	Clostridium_sp_KLE_1755	Clostridium_sp_L2_50	Collinsella_aerofaciens	Coprobacillus_sp_29_1	Coprobacillus_sp_D6	Coprobacillus_unclassified	Coprococcus_catus	Coprococcus_eutactus	Coprococcus_sp_ART55_1	Dialister_invisus	Dialister_succinatiphilus	Dorea_longicatena	Enterobacteria_phage_JL1	Enterococcus_avium	Enterococcus_dispar	Enterococcus_faecalis	Erysipelotrichaceae_bacterium_6_1_45	Escherichia_coli	Eubacterium_biforme	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Klebsiella_oxytoca	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_8_1_57FAA	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactococcus_phage_936_sensu_lato	Lactococcus_phage_jm2	Megamonas_unclassified	Megasphaera_unclassified	Methanobrevibacter_smithii	Mitsuokella_multacida	Mitsuokella_unclassified	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Paraprevotella_clara	Parasutterella_excrementihominis	Pediococcus_pentosaceus	Phascolarctobacterium_succinatutens	Prevotella_copri	Pyramidobacter_piscolens	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_sp_5_1_39BFAA	Ruminococcus_torques	Salmonella_phage_FelixO1	Salmonella_phage_Vi_II_E1	Streptococcus_parasanguinis	Streptococcus_phage_ALQ13_2	Streptococcus_thermophilus	Sutterella_wadsworthensis	Veillonella_unclassified
101HP	0	0.34033	0.01552	0.31336	0.01579	0	0	0	0.14214	0.1235	4.57591	0	0.1957	0.12138	0	0	0.05861	0	0.33353	0	0.23228	0	0	0.00286	1.22733	0	0.18386	0.57674	0	0	0	0.10455	0	0.01034	0.45256	0.0486	0	0	0	0	0	0.12981	0	0	0.00513	0.25414	0	36.7549	0	0	0.26351	0	0	0	0	0	4.26077	0	0.45117	0.03173	10.29176	0.19831	0.69542	12.61237	0	0	0.01126	0	0	1.02287	0	0	0	0	0	0	0.28718	0	0	0	1.91967	0.12279	0.9773	1.0937	0.63131	0	0	0	0	0	0.77444	0.67989	0.18316	0.791	0	0.67718	0.18681	0	1.01064	0	0	0.00229	0	0.01487	0	0.00222
102HP	0	0	0	0.23363	0.08771	0	0	0	0.1475	0.48132	3.34449	0	0.16977	0.59202	0	0	0.22736	0	0.45751	0.03203	0.13355	0	0	0.00716	1.41361	0.00765	0.36213	0.45121	0	0.04948	0	0.10111	0	0	0.04376	0	0	0	0	0	0	0.07445	0	0	0	0.35591	0	12.60319	0.03847	0	0.55956	0	0	0	0	0	1.73777	0	0.48047	0.1756	22.11725	2.92867	0	8.09969	0	0.01618	0	0	0	1.36515	0.02376	0	1.25058	0	0	0	0.93533	0	0	0.73482	0.19643	0.07999	1.29033	0.01645	0.30175	0	0	0	0	0	0.04296	0	0.26544	2.11719	0	2.38298	0.5871	0.79016	1.25667	0	0	0	0	0.2526	0	0.00127
105HP	0	0	0	1.2848	0	0	0.0058	0	0	0.0043	0	0	0	0.00274	0	0	5.69653	0.00755	0.60655	0	0	0	0	0	20.50127	0	4.08454	0	0	0	0	0	0	0	0.06038	0	0	0	0.07853	0	0	0	0	0	0.21103	0.04094	0	0	0	0	0	0	0.07574	0	0.01036	0	2.86758	0	0	0	0.24666	0	0	1.04905	0.13138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54929	1.24403	1.14332	0.50721	0.51901	0	0	0	0	0	0	0	0.07056	0	0.45135	0	0	0.0363	0	2.39462	0	0	0	0	0.15895	0	0
106HP	0.92583	0	0	0.00378	0	0	0	0	0.083	0	0	0	0	0.02241	0	0	0	0	0.01758	0	0	0	0	0	0.00244	0	0.0137	0.95656	0	0.0511	17.8053	0	1.02477	0.05797	0	0	0	0	0	0	0	0.00342	0	0	0	0.05795	0.00599	0	0	0	0.29541	0	0	0	0	0	0.01356	0.18998	0.19576	0	0.72104	0.03663	0	1.43708	0	0.40492	0	0	0	0	0	0	0	0	0	2.0977	0.25394	1.02784	6.06365	0	0	0.01447	0	0.05717	0	0	0	0.02654	61.08721	0	0	0.0141	0.12356	0.21015	0.02489	0.00482	0.08379	0	0.4384	0	0	0	0	0	0	0
107HP	4.60673	0	0	0	0	0	0	0	0	0	0	0	0	0.22918	0	0.00413	0	0	0	0	0	0	0	0	0.00844	0	0	0	0	0	0.00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0596	0	0	0	0	2.4004	0	0	0	0	0	0.21902	0.19334	0.31047	0	3.86443	0	0	3.48057	0	0.16917	0.0599	0	0	0	0	0	0	0	0	8.85007	0.23929	5.82751	27.87444	0	2.61747	0.6027	0	0.73935	0	0	0	22.22814	8.16983	0	0	0.50229	0.29539	0	0	0	0.57203	0	0.41629	0	0	0.07759	0	0	0	0.03323
108HP	0	0.64617	0.02965	0.06985	4.48314	0	0.76594	0	0.18373	0.77633	0	0	0	0.6114	0	0.10423	1.01753	0.00743	2.5682	0	0	0	0	6.61588	2.25433	0.40402	1.28911	0.66098	0	0.76287	0	0.02611	0	0	0	0	0.16342	0	0	0	0	0.47286	0	0	0	0.23445	0	0	0.31221	0	0.71265	0	0	0	0	0	0.38177	1.09485	0.76387	0	21.27055	1.12825	0.66703	6.59673	0	0.03801	0	0	0	0	0	0	0	0	0	0	0.40295	0	0	0.60858	0.05071	0	0.02424	0.85601	0	0	0	0	0.02487	0	0.22338	1.79954	0.39212	1.22838	0.70159	2.613	1.26092	3.12726	1.79212	0	0	0.06765	0	0	0	0.01607
109HP	0	0	0.46562	0	1.30669	0	0.10897	0	0.07702	1.37876	0	0	0	0.69744	0	0	3.84713	0	2.01	0	0	0	0	8.30413	2.68433	0.74408	1.85751	0	0	0	0	0	0	0.43754	0.2981	0	0.06995	0	0.06835	0	0	0.08708	0	0	0.18853	1.77848	0	0	0	0	2.32729	0	0	0	0	0.0076	0.62136	0	2.79153	0	2.91063	0.03783	0.50949	11.53466	0.15192	0	0	0	0.04252	0	0	0	0	0	0	0	0	0	0	0.53224	0.07998	0	0.02509	0.32629	0	0.01293	0	0	0	0	0.42896	0	0	0	0	0	3.47325	8.76989	10.33193	0	0	2.98132	0	9.76756	0	0.02081
11HP	0	0	0	0.23988	0	0	0.02985	0	0	0	0	0	0	0.00524	0	0	0.04177	0	2.57333	0	0	0	0	0	11.87426	0	0	0	0	0.54987	0	0	0	0.10114	0	0	0	0	0.00151	0	0	0	0	0	0.01597	0	0	0	0.62797	0	0.47047	0	0	0	0	0.00728	0	0	0	0	44.90972	0.0385	0.33824	4.64973	0.02579	0.10417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28059	0.53352	0.66523	0	0	0	0	0	0.02641	0	0	0.56431	0.5612	2.58618	0	3.68749	0.24656	1.38541	2.32684	0	0	0.01579	0	0.02508	0	0.05404
130HP	0	0.03942	0	0.01335	2.89303	0	0.06389	0	0.03637	0.78214	0	0	0	9.26321	0.00931	0.01841	0	0.02259	2.59227	0	13.54493	0	0	0.02774	0.73345	0.14837	0.25755	0	0	0.24481	0.00394	0	2.79732	0	0	0	0	0	0	0	0	0.03141	0	0	0	0.10513	0	0	7.04869	0	1.65026	0	0	0	0	0	0.03073	1.03193	2.19547	0.74426	9.55915	0.01462	0.0122	1.26867	0	0.01775	0	0	0	0	0	2.59224	0	0	0	0	0	0	0	0.48318	0.00748	0	1.35451	0	0	0.16485	0	0	0.00583	0	0.02728	0.09163	3.03447	3.01029	0.00858	0.5854	1.00234	1.79863	1.55833	0	0	0.38523	0	0.05229	0	0.00714
131HP	0	0.18147	0.01968	0.06439	3.98497	0	0.00246	0	0.13031	3.48418	0.00957	0	0	40.59413	0	0	0	0.00573	3.92958	0	8.8622	0	0	0	0.48161	0.10408	0.33563	0.00753	0	0	0	0.00981	0.27769	0	0.0444	0.00309	0	0	0	0	0	0	0	0	0	0.06342	0	0	0.00712	0	0.0524	0	0	0	0	0	0	0	0.16833	0.20218	0.36067	0.07956	0	9.18855	0.04595	0	0	0	0	0.09209	0	0	0	0	0	0	0	0	0	0.25911	1.04152	0	1.6578	0	0	0.01705	0	0	0.08077	0	0.00855	0.08629	0.0264	4.44603	0	0	0.13192	0.9911	0.40621	0	0	0.04984	0	0.00911	0	0
134HP	0	3.41168	0	0	2.95176	0	0.06932	0	0.09379	0.61078	0	0	0	0.97659	0.0078	0.01941	0	0	0.09402	0	0	0	0	0	0.53946	0.05015	0.17957	0.39617	0	0.2544	5.38512	0.05344	0	0.05983	0	0	0	0	0	0	2.8908	0.37117	0	0	0	0.28124	0	14.4016	0.59726	0	1.18301	0	0	0	0	0	0.65873	0	0.38591	0.11844	3.20765	0.15134	0.28982	6.54213	0	0.01513	0	0.04737	0	0.06274	0	0	0	0	0	0	0.90373	0	0	0.41591	0.07945	0.06032	0.00703	0.07315	0.09095	0	0	0	14.2814	0	0.41388	0.4006	0.48456	4.67998	0	2.5587	0.99023	1.16699	1.66031	0	0	0.10192	0	0.63925	0.64669	0.00332
135HP	0	0	0	0	1.25806	0	0.55484	0	0	0.44728	0	0	0	0	3.23437	0	0	0	3.41799	0	0	0	0	0	2.09906	0.41702	0	0	0	0	17.44847	0	0	0	0.12968	0	0	0	0	0	0	0	0	0	0	0.09106	0	0	0	0	0.19698	0	0	0	0	0	0.15023	0	0.37387	0.25102	5.85194	1.61001	0	10.40382	0	0	0	0	0	0	0	0	0	0	0	0	0.05661	0	0	0	0.10852	0.34841	0	0.30337	0	0	0	0	0.00394	0	0	0.32314	0	1.0424	0	0.01738	0.10657	0	1.66707	0	0	0.05831	0	0.084	0	0.00806
136HP	0	0.0068	0	0.09382	0	0	0.1403	0	0.12931	0	0	0	0	1.49297	0	0	0	0.00435	0.40927	0	0	0	0	0	0.1652	0	0	1.13759	0	0	0	0	0	0	0	0	0	0	0	0	4.59661	0.29757	1.64814	9.35716	0	0.08937	0	0.59843	0	0	4.82195	0	0	0	0	0	0.28978	0	3.83542	0.21861	10.45058	0.02892	0.00789	0.96518	0	0.00122	0	0	0	0.68036	0	0	0	0	0	0	0	0	0	0	0	0.05335	0.7646	0	0	0	1.03335	0	27.13043	0	0.36153	0.27772	0.53758	0	0.03977	0	0.34421	1.47692	2.4361	0	0	0.082	0	0	0	0
137HP	0	2.41611	0	0	1.42354	0	0	0	0	0.24326	0	0	0	0.10502	0.23358	0.03141	0.44179	0.15106	0.03971	0.03259	0	0	0	0.07225	0.26177	0.14035	0.14013	0.00534	0	0	21.95575	0.02854	0.21257	0.05405	0	0	0.02036	0	0	0	0	0.12259	0	0	0	0.11945	0.08105	0	0	0	0.18812	0	0	0	0.20571	0	5.28515	0.25211	0.10733	0.02638	2.99525	1.09088	0.02909	4.90448	0	0.0578	0	0	0.00607	0.26806	0	0.03164	0	0	0	0	0.41287	0	0	0.63342	0.02304	0.23482	0	0.26624	0.14363	0	0	0.71576	2.10801	0	0	0.1265	0.92702	0.59975	0.04879	0.89569	0.17876	0	1.53708	0	28.2589	0	0	0.03072	0	0.06321
159HP	0	0.02003	0.18482	0.2351	3.94045	0	0	0	0.21642	1.29461	0.87082	0	0	0.2322	0	0.00508	0	8.2546	1.40645	0	0.00998	0	0	0	1.75447	0.26691	0.52389	0.33745	0	0.10212	0	0.00422	0.66482	0.16649	0	0	0.09629	0	0.04203	0	6.35684	0.15221	0	0	0.12467	0.13379	0	0	0.0247	5.04955	1.1439	0	0	0	0	0	0.55173	0.47175	0.19831	0.1796	12.26628	0.01074	0.01428	12.11141	0	0.01625	0	0	0	0	0	0	0	0	0	0.44639	1.18812	0	0	0.67134	0.02152	0	0.32603	0	0	0.03288	0	0	22.2355	0	0.07869	0.11884	0.48735	0.27242	0.01247	0.27202	0.23218	0.57436	1.85266	0	0	0	0	0.01336	0	0.00877
15HP	0	6.26271	0	1.51271	0.0572	0	0	0	0	0.68663	0	0.29611	0.00206	0.46529	0	0	0.51429	0	0.232	0.02473	0	0	0	0	0.60131	0.13993	0.61947	1.30949	0	0.07678	3.80367	0.00941	0.92378	0.15065	0	0	0	0	0	0	0	0.09796	0	0	0	0.50919	0.00054	32.70506	0	0	0.56609	0	0	0	0	0	0.08512	1.8823	0.1054	0.06976	10.17933	0.08937	0.14972	2.77858	0	0.00979	0	0	0	0.02209	0	0	0	0	0	0	0	0	0	0.26162	0.0252	0.08697	0	0.26831	0.01675	0	0	0	0.42868	0	5.10285	0.08337	0.30515	0.00182	0.09562	1.47275	0.40612	0.3238	2.08507	0	0	0	0	0	0.02878	0.00348
160HP	0	0	0	0	0	0	0	0	0	0	0	0.03068	0	0	0	0.23767	0	0.07271	0	0	0	0	0	0	0.14457	0	0	0	0	0	0	0	0	0	0.02206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15845	0	0	0	77.3253	0	0.03049	0	0.3516	0	0	1.2808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25671	0.30164	0.50233	0	0	0	0	2.52771	0	0	0.65278	0.1553	0.36548	0	0.20284	0	0	0.36125	0	0	0.96644	0	0.40742	0	0.01622
163HP	0	0.17344	0	0.15355	0.7426	0	0.11578	0	0.06858	0.85465	0.0168	0.11439	0	0.31758	0.69152	0.00581	0	0.61389	0.49922	0	0.01163	0	0	0	0.91572	0.00886	0	0.22007	0	0.72131	0	0.07248	0	0.50925	0	0	0	0	0	0	5.05867	0.37596	0	0	0.01235	0.77712	0	0	0.01576	0	1.20006	0	0	0	0.58606	0	10.50372	1.68044	0.6681	0.34593	13.09787	0.38928	1.51668	8.49734	0.00968	0	0	0	0	0	0	0	0	0	0	0	0.63524	0	0	0.39069	0.27549	0.29386	0.50033	0	0.04212	0	0	0	4.14944	0	0.53916	1.46353	0.36157	21.41179	0.21471	0.21606	0.83954	3.58264	2.43965	0	0	0	0	0.15285	0	0
164HP	0	0	0	0	0	0	0.08608	0	0	0	0	9.16214	0	0	0	0.04843	0	8.43435	0	0	0	0	0	0.00404	2.70799	0	0	0	0	0.02113	0	0	0	0.33812	0	0	0	0	0.00229	0	0	0	0	0	0.97156	0.05749	0	0	0	0	1.11584	0	0	0	1.20713	0	5.13574	0	0.02486	0	0.0199	0	0.00647	0.22385	0	0	0	0.01592	0	0.06123	0	0	0	0	0	0	0	0	0	0	0	0.00402	12.13337	0	0	0	0	0	49.77458	0	0	3.33648	0.1965	0.04313	0	0.03417	0.03782	0	0.53836	0	0	0.11706	0	0.05748	0	0.76628
167HP	0	0	0	0	0	0	0.10373	0	0	0	0	0.0033	0	0	0	17.53328	0	0.02354	0	0	0	0	0	0	0.0107	0	0	0.56647	0	0.73848	0	0.27227	0	0.1867	0	0.03628	0	0	0	0	0	0	0	0	0.00142	0.17451	0	0	0	0.00441	0.30837	0	0	0	0	0	0.25952	0	0.23506	0	0.42371	0	0.01285	22.38488	0.04814	0.4892	0	0.01916	0	0.57201	0	0	0	0	0	0	0	0	0	0.653	0.39515	7.06745	0.01529	17.02885	0	0	0	0	0.27662	0	0.94524	0.57361	4.69331	5.44279	0.09753	1.89315	0.33124	1.15361	1.54354	0	0	0.25309	0	0.01188	0	0.14947
168HP	0	0	0	0	0	0	0.05983	0	0	0	0	0.0031	0	0	0	8.29885	0	0.01056	0	0	0	0	0	0	0.00179	0	0	0	0	0	0	0.54587	0	0.04206	0	0.00546	0	0	0	0	0	0	0	0	0.00179	0	0	0	0	0	0.06869	0	0	0	0	0	0.06267	0	0.09734	0	0.94692	0	0	27.76023	0.05557	0.00479	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33053	0.09287	4.90744	0.00852	12.74507	0	0	0	0	0.09881	0	0.01311	18.86386	0.14408	16.39356	0	1.5036	0.07862	1.88482	2.51624	0	0	0	0	0.2114	0	0.00172
16HP	0	0	0.13631	0.75357	0.0656	0	0	0	0	0	0	0.28919	0.01876	8.21837	0	0	0.00671	0	14.15173	0	0	0	0	0	1.34575	6.21359	0.2518	0	0	0	0	0	0	0.01885	0.15851	0	0	0	0	0	0	0.09276	0	0	0.01296	0.11496	0	0	0	0	1.1312	0	0	0	0	0	0.04507	0.94619	0.14202	0	16.49938	0.01061	0	10.74065	0	0	0	0	0	0.07321	0	0	0	0	0	0	0	0	0	0	0.1489	0.35923	0	1.27153	0.23581	0	0	0	16.68869	0	0.15243	1.05774	0.76898	2.64384	0	0.48311	0.67245	0	0.77499	0	0	0	0	0	0	0.0172
1HP	0.18019	0	0.00615	0	0.45429	0	0.79955	0	0	0	0.02537	0	0	0.33253	0.05794	0	0	0	0.07092	0	0	0	0	0.09384	0.29815	0.00759	0.03358	1.23993	0	0.04468	0.0715	1.03646	0	0.03057	0.00768	0	0	0	0	0	0	0.25271	0	0	0.01631	0.64593	0	0	0	0	4.20237	0	0	0	0.03496	0	0.05542	2.10605	1.13745	0.01803	26.09977	2.51644	0.08069	15.16774	0.05984	0	0	0	0	0	0	0.07223	0.66209	0	0	0	0.0124	0	0	0	0.21225	0.0619	0.53093	0	0.05257	0	0	0.15993	1.76633	0	0.30543	0.47669	2.54377	0	0	0.00242	0.76375	2.02649	2.52265	0	0	0.1754	0	3.08801	0.06107	0.02388
21HP	0	0	0.05595	0	2.29274	0	0.00327	0	0.05145	0.62235	0.00606	0	0.15942	0	0.00057	0	0	0	0.38437	0	0.23214	0.06013	0	0.32224	0.23132	0.0703	0.26997	0	0	0	0	0.75197	0	0.02099	0.00996	0.01201	0	0	0	0	0	0.03904	0	0	0	0.24012	0	0	0	0	0.31915	0	0	0	0	0	0.01234	1.05276	0	0.13858	0.01999	0.59622	0.38927	2.96974	0.00274	0.30875	0	0	0	0	0	2.74795	0	0	0	0	0	0	0	0.46937	0.04323	0.08846	1.48591	0	0.01238	0.18122	0	2.61541	37.32329	0	0.44425	10.75203	10.73198	0.29772	0.66113	0.98017	0.07869	0.55041	2.95686	0	0	0.38485	0	0.08899	0	0.04367
22HP	0	0	0	0	1.32181	0	0	0	0.03989	2.54531	0	0	2.61074	0.00623	0.00709	0.0116	0	0	1.61635	0	2.9149	0.23889	0	2.40116	0.18157	0.02855	0	0	0	0.45668	0	0.01813	0	0	0.00694	0.01068	0	0	0.04692	0	0	0	0	0	0.19168	2.22107	0.00271	0	0	0	3.84844	0	0.02405	0	0	0.03668	0.23595	0	0	0.0487	0.00617	0	0	0.55702	0.05801	0.1284	0.00382	0.01402	0.00467	0.08059	0	0	0	0	0	0	0	0	0	0	0.0833	0.03308	0.44569	0.30959	0.15055	1.06771	0	0	0.00357	0	0	0.00095	0	8.67997	0	3.51591	0.32534	6.75809	4.17664	0	0	4.58384	0	0.00887	0	0
23HP	0	0.01947	0.02239	0.12134	4.42157	0	0.00578	0	0.14416	1.64813	0.17262	0	0	0.6802	0.04627	0.15102	0	0	0.73003	0	21.61326	0	0	5.72849	3.09581	0.15056	0.67272	0.12538	0	0	0	0	0	0.01897	0	0	0	0	0	0	0	0.03333	0	0	0	0.09295	5.68664	0	1.21951	0	0.11755	0	0	0	0.01045	0	0.7555	0	0.03505	0.08822	4.66847	0	0.0071	2.3	0	0.01621	0	0	0	0	0	0.12963	0	0	0	0.03592	0.16707	0	0	0.69827	0.01802	0.07369	0.36012	1.0871	0.29333	0	0	0	0	0	0.37108	0	0.09123	0.6669	0	0.99076	0.17888	0	0.79676	0	0	0.25148	0	0.33622	0	0.01143
24HP	0	0	0	1.04985	1.53958	0	0	0	0	0	0	0	0	0.92484	31.56737	4.90309	0	0	0.83751	0	0	0	0	17.20174	1.70719	0.18343	0.46633	0	0	0	0	0.27108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74026	2.10177	0	0	0	0	0	0	0	0	0	0.05183	0	0	0	0	0	0	0	0	0	0	0	0	0.8043	0	0.21247	0.7412	3.13354	0.2103	0	0	0	0	0	0	0	0	0	0	0	0	0	10.65021	0	0	0	0	0.00362	0	0
