	alien-11-0-0	alien-11-60-0	kazan5500_2015_05_26_1_L04_25HP_F3	kazan5500_2015_05_26_1_L06_41HP_F3	kazan5500_2015_05_26_1_L06_43HP_F3	kazan5500_2015_06_20_1_L01_50HP_F3	kazan5500_2015_06_20_1_L01_59HP_F3	kazan5500_2015_11_27_1_L02_58HP_F3	kazan5500_2015_11_27_1_L05_88HP_F3	kazan5500_2015_11_27_1_L06_98HP_F3	kazan5500_2015_12_11_L01_70HP_F3	kazan5500_2016_04_22_1_L01_115HP_F3	kazan5500_2016_04_22_1_L01_119HP_F3	kazan5500_2016_05_31_HP_A_L02_163HP_F3	kazan5500_2016_05_31_HP_A_L03_160HP_F3	kazan5500_2016_05_31_HP_A_L03_164HP_F3	scavenger-11-0-0
g019169	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g019170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019171	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
g019172	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1
g019173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g019182	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g019183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019186	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
g019188	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g019189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019203	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g019229	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
g019237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g019238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019239	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g019256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019259	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
g019260	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0
g019261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019262	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g019263	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0
g019274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019276	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0
g019289	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019290	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1
g019291	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1
g019293	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0
g019295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g019296	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g019306	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1
g019307	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
g019308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019309	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019320	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
g019321	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1
g019325	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
g019327	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1
g019328	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g019329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019336	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g019338	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1
g019340	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1
g019345	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019365	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
g019374	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0
g019395	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019396	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019400	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
g019452	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g019453	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0
g019463	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
g019464	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g019482	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019483	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019484	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
g019485	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g019486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g019487	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019488	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019489	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019490	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
g019491	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
g019492	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019502	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
g019503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019505	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019519	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019520	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019546	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0
g019547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g019548	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019551	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019553	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019561	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019565	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019566	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019572	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1
g019573	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019574	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g019575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019576	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019582	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019591	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g019594	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019598	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g019599	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
g019600	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g019604	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
g019605	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
g019606	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
g019607	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
g019608	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0
g019609	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
g019610	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0
g019615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g019616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
g019617	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019618	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019620	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
g019622	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019625	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g019631	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0
g019634	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g019640	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
g019641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019643	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g019655	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g019656	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g019662	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019665	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019669	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0
g019670	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g019677	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g019682	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g019688	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
g019693	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0
g019698	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019699	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019700	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019701	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019703	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g019708	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019709	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
g019710	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019711	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1
g019715	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
g019717	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1
g019718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g019722	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g019723	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g019727	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
g019728	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019747	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0
g019748	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0
g019775	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g019776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g019777	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g019779	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
g019786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g019787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g019788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g019789	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g019791	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g019792	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
g019793	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019794	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019795	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019796	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019797	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019799	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019800	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019801	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019802	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019804	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g019806	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1
g019807	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
g019808	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
g019812	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019813	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
g019818	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019819	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g019820	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g019825	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019826	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019829	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019830	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019831	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019834	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
g019835	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
g019836	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019837	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019840	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019841	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019844	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g019857	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
g019861	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019862	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019864	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019867	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
g019868	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019869	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019873	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019874	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g019875	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019876	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019883	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g019885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019888	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019889	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1
g019893	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g019896	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019897	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019898	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
g019900	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019901	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019902	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019904	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019905	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g019908	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019909	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019910	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019911	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019912	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019913	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
g019915	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019916	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019918	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g019919	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g019925	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1
g019926	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0
g019928	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019939	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019940	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g019941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019942	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019943	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g019951	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
g019952	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
g019960	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g019962	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019963	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019965	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019966	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019968	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g019974	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g019975	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g019977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g019982	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g019987	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
g019988	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
g019990	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g019991	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1
g019995	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1
g019997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020000	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
g020003	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g020010	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020011	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020012	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g020015	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0
g020017	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
g020018	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1
g020025	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1
g020029	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g020030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020036	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0
g020037	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020047	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020053	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1
g020056	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g020057	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
g020060	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1
g020062	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0
g020071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020086	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
g020087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020095	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g020111	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g020112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g020113	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
g020114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020118	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1
g020119	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g020120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g020122	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
g020126	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g020131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020132	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
g020133	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020134	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
g020135	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020136	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020137	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
g020138	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020139	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020140	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020143	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0
g020144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020145	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1
g020146	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g020147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g020148	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g020149	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
g020161	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1
g020162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020163	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g020165	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
g020166	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020173	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
g020174	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
g020175	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0
g020176	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g020177	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g020181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020182	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
g020186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020199	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1
g020200	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020201	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020202	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020203	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
g020204	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g020205	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
g020207	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
g020208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020211	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g020212	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
g020213	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
g020214	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
g020215	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1
g020216	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
g020217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g020219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020225	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1
g020226	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0
g020238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
g020239	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
g020251	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g020252	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
g020255	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
g020256	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
g020257	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
g020258	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020260	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g020261	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g020262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020265	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020268	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g020269	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g020270	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g020272	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
g020273	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g020283	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g020288	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g020289	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g020290	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g020291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020293	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g020294	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g020295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
