"name" "rpkm" "sample"
"1289" "MH0121_GL0043134" 10120.0234784545 "160HP"
"1376" "MH0308_GL0030179" 859.274207902622 "160HP"
"1438" "216592.EC042_0333" 1534.41822839754 "160HP"
"1587" "926029.ECO7815_17577" 2455.06916543606 "160HP"
"1660" "MH0093_GL0027644" 1412.66100496704 "160HP"
"1960" "405955.APECO1_1463" 4221.7112869075 "160HP"
"2655" "585054.EFER_2508" 605.324433718992 "160HP"
"28100" "198214.SF0498" 6177.79280361815 "160HP"
"3716" "MH0277_GL0026573" 236.500548681273 "160HP"
"4151" "T2D-14A_GL0070332" 1279.88532227512 "160HP"
"5886" "N043A_GL0038371" 23139.8857620377 "160HP"
"6692" "MH0315_GL0094431" 15880.2832877549 "160HP"
"6827" "MH0204_GL0185212" 2997.54614670611 "160HP"
"7378" "656383.EREG_03241" 10773.4036350731 "160HP"
"7929" "550677.ECEG_03383" 1074.47162857665 "160HP"
"88" "MH0008_GL0019588" 2459.86035021383 "160HP"
"9373" "MH0025_GL0024003" 16355.8459016667 "160HP"
"10017" "DLM012_GL0026195" 1567.06180732855 "160HP"
"10240" "DOF004_GL0030086" 14811.3873863287 "160HP"
"111" "N089A_GL0090637" 380.607297003098 "160HP"
"1209" "333849.EfaeDRAFT_0418" 1316.67476421647 "160HP"
"12223" "941429.SDB_03929" 1996.15142006212 "160HP"
"12562" "511145.b4494" 11119.2560805858 "160HP"
"12623" "656420.ERJG_00170" 2474.84934354621 "160HP"
"15341" "SZEY-48A_GL0031505" 2656.27905305214 "160HP"
"16351" "MH0014_GL0048505" 20328.6894983261 "160HP"
"164" "MH0204_GL0185213" 4605.7187144645 "160HP"
"16929" "O2.UC47-1_GL0068127" 970.619352208644 "160HP"
"17114" "469595.CSAG_00385" 648.284558023899 "160HP"
"17249" "550694.ERIG_00722" 7293.20127776886 "160HP"
"175" "MH0348_GL0011327" 660.585972787161 "160HP"
"17651" "511145.b4038" 9413.35011221704 "160HP"
"18318" "V1.CD35-0_GL0011543" 2370.52690040062 "160HP"
"18829" "MH0336_GL0013317" 856.616160577839 "160HP"
"19025" "MH0014_GL0062676" 6815.77484874223 "160HP"
"19133" "MH0264_GL0002674" 8388.64596768274 "160HP"
"199" "926026.ECO5101_24206" 1256.13487299579 "160HP"
"208" "409438.ECSE_0020" 3121.40808554862 "160HP"
"22141" "331111.EcE24377A_1651" 9996.94211182462 "160HP"
"22749" "NLM022_GL0081863" 2005.35027453245 "160HP"
"228" "SZEY-48A_GL0063392" 604.390291074364 "160HP"
"23016" "656420.ERJG_02953" 605.79258873347 "160HP"
"23239" "679205.HMPREF9347_00630" 7406.99590763476 "160HP"
"235" "1048689.ECO55CA74_08965" 828.878113473414 "160HP"
"23630" "932676.SGB_03031" 4372.43119667196 "160HP"
"23725" "MH0014_GL0045989" 2504.52379610672 "160HP"
"23923" "550694.ERIG_00719" 626.130949026679 "160HP"
"24010" "656420.ERJG_04430" 1669.68253073781 "160HP"
"24834" "198214.SF0505" 5293.92955685574 "160HP"
"25216" "MH0014_GL0062677" 1493.19954265431 "160HP"
"25320" "MH0097_GL0089165" 2559.77064455025 "160HP"
"254" "N089A_GL0090635" 1279.88532227512 "160HP"
"25752" "670893.ECEPECA14_4498" 17149.2023477258 "160HP"
"26029" "550694.ERIG_00712" 1302.22746007045 "160HP"
"26317" "T2D-14A_GL0109835" 2835.63565135642 "160HP"
"26747" "199310.c0680" 12966.9189721409 "160HP"
"278" "ED13A_GL0075461" 1145.16055150932 "160HP"
"28141" "199310.c1093" 11451.6055150932 "160HP"
"28539" "585054.EFER_1094" 10416.0879951114 "160HP"
"28867" "754092.SFJ1713_4754" 20655.6425877575 "160HP"
"28930" "MH0095_GL0050443" 8144.72477811443 "160HP"
"301" "O2.UC38-0_GL0059833" 4606.16110412106 "160HP"
"305" "MH0425_GL0119426" 975.150721733428 "160HP"
"33315" "DLM024_GL0011541" 1020.90559430743 "160HP"
"34825" "550677.ECEG_02340" 6494.94044139615 "160HP"
"34921" "656420.ERJG_01116" 779.392852967538 "160HP"
"35329" "SZEY-10A_GL0084952" 7077.92003523231 "160HP"
"35523" "MH0014_GL0045991" 2629.37165905464 "160HP"
"368" "V1.UC5-3_GL0142779" 800.909833570937 "160HP"
"369" "585054.EFER_2922" 1601.81966714187 "160HP"
"37543" "MH0350_GL0090106" 9730.30828860095 "160HP"
"37916" "MH0014_GL0062674" 1359.87815491732 "160HP"
"38310" "ED19A_GL0006789" 1364.14109584183 "160HP"
"385" "550694.ERIG_00720" 1091.31287667346 "160HP"
"38710" "585054.EFER_2914" 821.058508629325 "160HP"
"404" "469608.HMPREF0485_02099" 2789.49365111245 "160HP"
"432" "T2D-46A_GL0010413" 1148.93995927008 "160HP"
"433" "T2D-57A_GL0116224" 2024.00469569089 "160HP"
"44651" "T2D-48A_GL0045471" 14306.6633284452 "160HP"
"44827" "T2D-110A_GL0071034" 9869.63114496694 "160HP"
"464" "DLM028_GL0009938" 1225.80566077054 "160HP"
"465" "1028307.EAE_13660" 919.354245577906 "160HP"
"46939" "MH0095_GL0021929" 8139.70233734683 "160HP"
"47514" "300267.SDY_3092" 2513.56539825873 "160HP"
"476" "670899.ECRN5871_3028" 2199.36972347639 "160HP"
"47838" "656419.ECJG_00018" 13925.1523063534 "160HP"
"48512" "MH0415_GL0046770" 1289.36595429198 "160HP"
"522" "405955.APECO1_1453" 1008.09500287307 "160HP"
"52920" "585056.ECUMN_0675" 2031.88020034339 "160HP"
"538" "679206.HMPREF9346_01231" 2055.87878538681 "160HP"
"544" "O2.UC38-0_GL0021484" 1726.82940306961 "160HP"
"54639" "155864.Z0356" 19340.4893143797 "160HP"
"55825" "300267.SDY_0527" 3844.79606852126 "160HP"
"56042" "MH0351_GL0081105" 22459.9230747635 "160HP"
"56418" "754092.SFJ1713_4721" 9552.31484429727 "160HP"
"56639" "DOM003_GL0014052" 13854.1056109128 "160HP"
"571" "MH0415_GL0183060" 2157.82318796798 "160HP"
"594" "MH0415_GL0220566" 1125.41640406951 "160HP"
"598" "T2D-77A_GL0064533" 1892.00438945018 "160HP"
"599" "MH0425_GL0127057" 1140.15985041103 "160HP"
"612" "SZEY-68A_GL0059575" 2341.67359411772 "160HP"
"61540" "405955.APECO1_2115" 25597.7064455025 "160HP"
"61835" "T2D-176A_GL0069136" 21362.449560883 "160HP"
"63117" "ED19A_GL0035710" 1619.20375655272 "160HP"
"63433" "DLM005_GL0055322" 12726.4068837545 "160HP"
"63534" "N043A_GL0092948" 28873.2423413725 "160HP"
"651" "MH0343_GL0071059" 1279.88532227512 "160HP"
"65241" "MH0397_GL0078261" 25171.0780047441 "160HP"
"65313" "V1.CD53-0_GL0046229" 7679.31193365075 "160HP"
"661" "MH0093_GL0013881" 3877.67236253651 "160HP"
"662" "MH0221_GL0059213" 1292.55745417884 "160HP"
"663" "MH0350_GL0196516" 1723.40993890512 "160HP"
"66812" "585054.EFER_2921" 1723.40993890512 "160HP"
"686" "T2D-66A_GL0082323" 2664.25107902169 "160HP"
"704" "V1.CD20-0_GL0084228" 1374.19266181119 "160HP"
"70513" "V1.CD3-0-PT_GL0050839" 15574.1835005268 "160HP"
"711" "N086A_GL0028719" 2762.92704491138 "160HP"
"71415" "MH0121_GL0056691" 14813.9918152695 "160HP"
"718" "MH0350_GL0132938" 3743.32051246058 "160HP"
"733" "NLM003_GL0010004" 6658.2012393766 "160HP"
"740" "MH0179_GL0059047" 2404.204472782 "160HP"
"76535" "656374.ERCG_00868" 14835.0344172798 "160HP"
"77137" "V1.CD11-0_GL0015338" 10120.0234784545 "160HP"
"77810" "T2D-31A_GL0093187" 3089.90065969379 "160HP"
"782" "656420.ERJG_03168" 3108.2929255253 "160HP"
"80922" "1072459.CE10_3491" 6486.87219240063 "160HP"
"811" "MH0448_GL0137412" 3263.70757180157 "160HP"
"81217" "SZEY-73A_GL0001051" 4895.56135770235 "160HP"
"823" "656429.ERHG_02192" 2217.38094050213 "160HP"
"827" "O2.UC26-1_GL0047534" 11791.4596142508 "160HP"
"82914" "656390.ERLG_02179" 2825.72084138664 "160HP"
"83820" "945360.SGF_03545" 12596.7660666025 "160HP"
"84822" "MH0336_GL0056238" 7912.01835588259 "160HP"
"85011" "ED13A_GL0021411" 5477.55116945718 "160HP"
"867" "MH0298_GL0101226" 2597.97617655846 "160HP"
"87611" "NLM015_GL0057475" 9301.1513496635 "160HP"
"88213" "MH0336_GL0113984" 4873.80330722367 "160HP"
"89423" "SZEY-79A_GL0050484" 5707.02963375137 "160HP"
"900" "N022A_GL0005851" 7192.74395989326 "160HP"
"920" "MH0448_GL0149560" 2270.40526734022 "160HP"
"926" "V1.FI34_GL0076923" 5439.51261966928 "160HP"
"94414" "SZEY-95A_GL0001927" 18276.7624020888 "160HP"
"953" "932676.SGB_03685" 10993.5412944895 "160HP"
"959" "766145.SFVA6_0190" 9563.97823238554 "160HP"
"971" "MH0415_GL0187651" 3108.2929255253 "160HP"
"972" "V1.CD12-3_GL0070699" 5180.48820920884 "160HP"
"977" "T2D-13A_GL0014483" 3263.70757180157 "160HP"
"979" "MH0330_GL0044530" 11302.8833655466 "160HP"
"98111" "O2.CD2-0_GL0069881" 5651.44168277328 "160HP"
"1000" "ED15A_GL0065904" 5195.95235311692 "160HP"
"100715" "478008.ECH7EC869_2995" 7133.78704218922 "160HP"
"1016" "766142.SD15574_0872" 9161.28441207457 "160HP"
"102515" "409438.ECSE_2865" 5119.5412891005 "160HP"
"102812" "331111.EcE24377A_0501" 5221.93211488251 "160HP"
"1033" "331112.EcHS_A3375" 12962.2428383608 "160HP"
"103611" "331111.EcE24377A_4739" 9460.02194725092 "160HP"
"104018" "1068608.IAE_07893" 41538.0963683836 "160HP"
"1043" "1048689.ECO55CA74_02525" 16981.8930565285 "160HP"
"1058" "331111.EcE24377A_4208" 10239.082578201 "160HP"
"1200" "656390.ERLG_02458" 1349.41333375263 "163HP"
"4152" "885275.i14_2241" 1440.25403576401 "163HP"
"542" "O2.CD1-0-PT_GL0059073" 1572.4136751182 "163HP"
"644" "1006551.KOX_20630" 94.4840406062171 "163HP"
"7106" "1033813.ECNA114_2046" 1107.02132201629 "163HP"
"11101" "945434.ECoL_01541" 899.911241754226 "163HP"
"1288" "MH0121_GL0043134" 4963.4639419235 "163HP"
"1375" "MH0308_GL0030179" 361.233765025744 "163HP"
"1437" "216592.EC042_0333" 361.233765025744 "163HP"
"1586" "926029.ECO7815_17577" 1128.85551570545 "163HP"
"1659" "MH0093_GL0027644" 677.791300467323 "163HP"
"1959" "405955.APECO1_1463" 4778.26006349352 "163HP"
"2654" "585054.EFER_2508" 2127.69200045206 "163HP"
"2890" "198214.SF0498" 7591.54453769392 "163HP"
"32" "195103.CPF_1487" 163.756227239931 "163HP"
"3715" "MH0277_GL0026573" 695.963965769708 "163HP"
"3934" "O2.CD1-0-PT_GL0093058" 1224.59233321227 "163HP"
"4150" "T2D-14A_GL0070332" 470.799153314803 "163HP"
"4417" "544875.EfmE1636_1714" 297.531063433147 "163HP"
"4615" "O2.CD1-0-PT_GL0031579" 476.492538424656 "163HP"
"52" "MH0277_GL0026260" 254.840536719654 "163HP"
