#	alien-11-0-0	alien-11-2-0	alien-11-60-0	alien-11-7-0	scavenger-11-392-0	scavenger-11-0-0	scavenger-11-7-0	scavenger-11-60-0	daisy-11-0-0	daisy-11-2-0	daisy-11-7-0	daisy-11-60-0	peacemaker-11-0-0	peacemaker-11-7-0	peacemaker-11-60-0	peacemaker-11-2-0	peacemaker-11-392-1	peacemaker-11-600-0	peacemaker-11-392-3	peacemaker-11-773-0	tigress-11-0-0	tigress-11-7-0	tigress-11-60-0	tigress-11-2-0	halbarad-11-0-0	halbarad-11-2-0	halbarad-11-7-0	halbarad-11-392-0	peacemaker-11-392-2	scavenger-11-2-0	alien-11-392-1	alien-11-392-3	alien-11-392-2	alien-11-600-0	alien-11-637-0	alien-11-630-0	alien-11-632-0	alien-11-773-0	bugkiller-11-0-0	bugkiller-11-60-0	bugkiller-11-392-2	bugkiller-11-392-1	bugkiller-11-773-0	bugkiller-11-392-3	bugkiller-11-600-0	bugkiller-11-7-0	bugkiller-11-2-0	alien-11-376-0	alien-11-377-0	alien-11-378-0	alien-11-380-0
halbarad-11-0-0	0.6330	0.6367	0.6331	0.6411	0.6835	0.6022	0.6608	0.7140	0.6986	0.7669	0.7673	0.7467	0.6670	0.6439	0.6245	0.7127	0.7107	0.6516	0.6733	0.7231	0.6409	0.6022	0.6689	0.6836	0.0000	0.2884	0.3077	0.5335	0.7790	0.8246	0.8770	0.8751	0.8654	0.7911	0.7678	0.7682	0.8267	0.7106	0.7059	0.7535	0.7780	0.8563	0.7416	0.9263	0.8127	0.7524	0.6810	0.9705	0.9723	0.9765	0.9744
halbarad-11-2-0	0.6850	0.6942	0.6941	0.7322	0.6989	0.7004	0.7702	0.7848	0.7520	0.8003	0.7913	0.7824	0.7670	0.7427	0.7055	0.7875	0.7478	0.7007	0.7223	0.7836	0.6967	0.6493	0.7171	0.6518	0.2884	0.0000	0.4711	0.5397	0.7588	0.7769	0.9006	0.9003	0.8880	0.8385	0.8145	0.8120	0.8474	0.7256	0.7408	0.7501	0.7712	0.8550	0.7928	0.9176	0.8105	0.8264	0.7187	0.9756	0.9808	0.9843	0.9818
halbarad-11-7-0	0.7066	0.6997	0.6679	0.6152	0.7569	0.5802	0.6301	0.6985	0.7209	0.8137	0.8223	0.7839	0.6506	0.6168	0.6509	0.7258	0.7486	0.7217	0.7000	0.7356	0.6428	0.6251	0.6846	0.7495	0.3077	0.4711	0.0000	0.5663	0.8442	0.8696	0.8684	0.8663	0.8610	0.7718	0.7573	0.7786	0.8437	0.7387	0.7769	0.8105	0.7973	0.8539	0.7716	0.9132	0.8457	0.7278	0.6692	0.9795	0.9744	0.9774	0.9760
halbarad-11-392-0	0.6901	0.6810	0.6660	0.7442	0.6823	0.6901	0.7100	0.6751	0.7334	0.7621	0.7646	0.7507	0.7386	0.7223	0.7037	0.7044	0.7317	0.6826	0.7142	0.7310	0.6970	0.6498	0.6901	0.7109	0.5335	0.5397	0.5663	0.0000	0.7839	0.8129	0.9090	0.9024	0.9051	0.7884	0.7613	0.7892	0.8289	0.7149	0.7656	0.7902	0.7866	0.8361	0.7529	0.8993	0.8165	0.7943	0.7908	0.9911	0.9924	0.9930	0.9904
peacemaker-11-392-2	0.7508	0.7374	0.7701	0.8236	0.6806	0.8469	0.8834	0.8626	0.7098	0.6840	0.6206	0.7002	0.8224	0.8118	0.7277	0.7868	0.5838	0.5301	0.5442	0.7037	0.7585	0.7158	0.7363	0.5759	0.7790	0.7588	0.8442	0.7839	0.0000	0.6917	0.9438	0.9416	0.9287	0.8809	0.8678	0.8698	0.8694	0.8016	0.7849	0.8315	0.7976	0.8618	0.8189	0.8624	0.7404	0.8825	0.7988	0.9904	0.9872	0.9894	0.9891
scavenger-11-2-0	0.7532	0.7422	0.7452	0.8440	0.5908	0.8066	0.8571	0.8138	0.7916	0.7818	0.7616	0.7985	0.8659	0.8590	0.8040	0.8405	0.7968	0.7564	0.8050	0.7960	0.8010	0.7435	0.7993	0.6478	0.8246	0.7769	0.8696	0.8129	0.6917	0.0000	0.9356	0.9275	0.9213	0.8188	0.8108	0.8141	0.8155	0.7968	0.8194	0.8407	0.8256	0.8400	0.8564	0.8465	0.7918	0.9106	0.8620	0.9957	0.9957	0.9962	0.9951
alien-11-392-1	0.8492	0.8423	0.7806	0.8081	0.8934	0.8157	0.8545	0.8605	0.8602	0.8866	0.8907	0.8672	0.8585	0.8632	0.8579	0.8578	0.8725	0.8849	0.8850	0.8661	0.9085	0.8962	0.9217	0.9358	0.8770	0.9006	0.8684	0.9090	0.9438	0.9356	0.0000	0.0963	0.1989	0.5596	0.6810	0.5806	0.5496	0.7784	0.9096	0.9355	0.9247	0.9388	0.9262	0.9598	0.9229	0.9217	0.9097	0.9563	0.7066	0.7560	0.7572
alien-11-392-3	0.8409	0.8346	0.7695	0.7998	0.8841	0.8075	0.8477	0.8493	0.8482	0.8758	0.8816	0.8574	0.8435	0.8497	0.8401	0.8444	0.8685	0.8794	0.8808	0.8539	0.9040	0.8906	0.9156	0.9324	0.8751	0.9003	0.8663	0.9024	0.9416	0.9275	0.0963	0.0000	0.1857	0.5511	0.6544	0.5680	0.5378	0.7716	0.9043	0.9328	0.9222	0.9366	0.9234	0.9584	0.9209	0.9141	0.8981	0.9544	0.6726	0.7282	0.7250
alien-11-392-2	0.8312	0.8243	0.7542	0.7964	0.8767	0.8097	0.8592	0.8566	0.8452	0.8703	0.8708	0.8518	0.8581	0.8630	0.8504	0.8570	0.8600	0.8711	0.8773	0.8554	0.9004	0.8850	0.9157	0.9216	0.8654	0.8880	0.8610	0.9051	0.9287	0.9213	0.1989	0.1857	0.0000	0.4938	0.6251	0.5140	0.4823	0.7555	0.8954	0.9265	0.9171	0.9356	0.9204	0.9579	0.9083	0.9198	0.8927	0.9474	0.7692	0.8139	0.8127
alien-11-600-0	0.6606	0.6422	0.5419	0.6338	0.7284	0.6668	0.7258	0.6896	0.7369	0.8076	0.8204	0.7580	0.7127	0.7037	0.6804	0.6929	0.7272	0.7367	0.7777	0.6862	0.7921	0.7558	0.8217	0.8409	0.7911	0.8385	0.7718	0.7884	0.8809	0.8188	0.5596	0.5511	0.4938	0.0000	0.2862	0.2915	0.4151	0.6157	0.8267	0.8744	0.8371	0.8323	0.8372	0.8827	0.8553	0.8583	0.8260	0.9505	0.8503	0.8761	0.8749
